id,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
5f09991f,Patrick van Aanholt,nl NED,DF,tr Galatasaray,30,1990,7.8,0,7,0,0.0,0.90,0.00,0.00,,28.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
1339039e,Liel Abada,il ISR,"FW,MF",sct Celtic,19,2001,3.8,1,5,1,20.0,1.33,0.27,0.20,1.00,17.9,1,0,0,0.5,0.5,0.10,+0.5,+0.5,Matches
7bb0fe4a,Khalid Abdul Basit,gh GHA,FW,md Sheriff Tiraspol,24,1996,0.3,0,1,0,0.0,3.91,0.00,0.00,,32.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
8bc373ea,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,25,1995,6.5,0,6,1,16.7,0.92,0.15,0.00,0.00,17.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
c603091a,Joel Abu Hanna,il ISR,DF,pl Legia Warsaw,23,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
b96b595c,Francesco Acerbi,it ITA,DF,it Lazio,33,1988,6.0,0,3,2,66.7,0.50,0.33,0.00,0.00,22.5,0,0,0,0.8,0.8,0.25,-0.8,-0.8,Matches
dc38e3bc,Ragnar Ache,de GER,FW,de Eint Frankfurt,23,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
81442ecb,Marcos Acuña,ar ARG,DF,es Sevilla,29,1991,3.0,0,2,0,0.0,0.67,0.00,0.00,,18.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
2b09d998,Tyler Adams,us USA,"MF,DF",de RB Leipzig,22,1999,1.7,0,1,1,100.0,0.58,0.58,0.00,0.00,18.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
6af56975,Edmund Addo,gh GHA,MF,md Sheriff Tiraspol,21,2000,1.3,0,2,0,0.0,1.50,0.00,0.00,,23.5,0,0,0,0.4,0.4,0.19,-0.4,-0.4,Matches
ee926a02,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,30,1991,4.3,0,5,0,0.0,1.16,0.00,0.00,,17.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
dcfb17f4,Amine Adli,fr FRA,"FW,MF",de Leverkusen,21,2000,5.5,1,12,7,58.3,2.18,1.27,0.08,0.14,16.2,0,0,0,1.8,1.8,0.15,-0.8,-0.8,Matches
4b00cd47,David Affengruber,at AUT,DF,at Sturm Graz,20,2001,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
3dd738a1,Ruben Aguilar,fr FRA,DF,fr Monaco,28,1993,4.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
d810c13b,Emanuel Aiwum,at AUT,"DF,MF",at Rapid Wien,20,2000,6.0,0,2,0,0.0,0.33,0.00,0.00,,29.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
2b1c4abd,Albian Ajeti,ch SUI,FW,sct Celtic,24,1997,1.7,1,6,3,50.0,3.62,1.81,0.17,0.33,11.6,0,0,0,1.0,1.0,0.17,0.0,0.0,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,de Dortmund,26,1995,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
31f5b89b,Paul Akouokou,ci CIV,MF,es Betis,23,1997,1.6,0,3,0,0.0,1.85,0.00,0.00,,27.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
fdf4b948,Jean-Daniel Akpa-Akpro,ci CIV,MF,it Lazio,28,1992,1.2,0,1,0,0.0,0.85,0.00,0.00,,32.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
f28659fb,Kerem Aktürkoğlu,tr TUR,"FW,MF",tr Galatasaray,22,1998,6.9,1,14,6,42.9,2.02,0.87,0.07,0.17,17.6,0,0,0,2.0,2.0,0.14,-1.0,-1.0,Matches
834d0be5,Lucas Alario,ar ARG,FW,de Leverkusen,28,1992,3.9,1,10,4,40.0,2.54,1.02,0.00,0.00,17.5,0,1,1,1.8,1.1,0.11,-0.8,-1.1,Matches
4601e194,Jordi Alba,es ESP,DF,es Barcelona,32,1989,6.0,1,4,1,25.0,0.67,0.17,0.25,1.00,19.3,0,0,0,0.8,0.8,0.19,+0.2,+0.2,Matches
