id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
1c529186,Ignazio Abate,it ITA,DF,it Milan,31,1986,3,2,195,2.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,8,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
db265666,Araz Abdullayev,az AZE,"FW,MF",az Qarabağ Ağdam,26,1992,6,3,316,3.5,1,0,1,0,1,1,0,0,0.8,0.0,0.3,0.3,6,0,33,0.28,0.00,0.28,0.00,0.00,0.22,0.10,0.32,0.00,0.10,Matches
8bc373ea,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,22,1995,7,7,630,7.0,1,0,1,1,0,0,3,0,1.1,1.1,0.2,1.3,3,18,2,0.14,0.00,0.14,0.14,0.14,0.16,0.02,0.18,0.16,0.18,Matches
565bf0da,David Abraham,ar ARG,DF,de Eint Frankfurt,32,1986,8,8,727,8.1,0,0,0,0,0,0,3,0,0.9,0.9,0.1,1.0,8,29,3,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.12,0.11,0.12,Matches
b96b595c,Francesco Acerbi,it ITA,DF,it Lazio,30,1988,8,8,720,8.0,0,0,0,0,0,0,3,0,0.6,0.6,0.0,0.7,12,34,6,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
aa1ecac3,Acorán,es ESP,"FW,MF",cy AÉK Lárnaka,35,1983,6,5,446,5.0,0,1,1,0,0,0,1,0,0.2,0.2,0.8,1.0,20,23,39,0.00,0.20,0.20,0.00,0.20,0.05,0.16,0.21,0.05,0.21,Matches
d75cf9bf,Rafael Acosta,uy URU,"FW,MF",cz Jablonec,27,1990,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
81442ecb,Marcos Acuña,ar ARG,"DF,MF",pt Sporting CP,26,1991,6,6,526,5.8,0,0,0,0,0,0,4,1,0.1,0.1,0.5,0.7,13,34,18,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,Matches
884a8908,Samuel Adegbenro,ng NGA,FW,no Rosenborg,22,1995,4,3,266,3.0,1,0,1,1,0,0,0,0,0.9,0.9,0.0,0.9,10,6,19,0.34,0.00,0.34,0.34,0.34,0.32,0.00,0.32,0.32,0.32,Matches
ee926a02,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,27,1991,6,6,540,6.0,0,0,0,0,0,0,3,0,0.3,0.3,0.4,0.7,4,13,6,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,Matches
9d8586c4,Adriano,br BRA,"DF,MF",tr Beşiktaş,33,1984,2,2,167,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,8,21,1,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches
2557c196,Luiz Adriano,br BRA,FW,ru Spartak Moscow,31,1987,3,3,243,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,5,7,10,0.37,0.00,0.37,0.37,0.37,0.20,0.04,0.23,0.20,0.23,Matches
42a632ba,Ansi Agolli,al ALB,DF,az Qarabağ Ağdam,35,1982,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.6,5,5,7,0.00,0.00,0.00,0.00,0.00,0.08,0.57,0.64,0.08,0.64,Matches
18abe173,Joseph Aidoo,gh GHA,DF,be Genk,22,1995,5,5,450,5.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,2,11,0,0.20,0.00,0.20,0.20,0.20,0.02,0.01,0.03,0.02,0.03,Matches
a8c0acb7,Kristoffer Ajer,no NOR,DF,sct Celtic,20,1998,3,1,161,1.8,0,0,0,0,0,0,0,0,1.4,1.4,0.0,1.4,4,5,1,0.00,0.00,0.00,0.00,0.00,0.77,0.02,0.79,0.77,0.79,Matches
7230b807,Emre Akbaba,tr TUR,FW,tr Galatasaray,25,1992,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
