id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
bbe88396,Aly Abeid,mr MTN,DF,Levante,19,1997,0.9,2,1,1,1,0,0,1,0.0,1,1,0,1,3,5,3,0,Matches
65d62814,Antonio Adán,es ESP,GK,Betis,30,1987,30.0,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,11,2,Matches
5890cef1,Aday,es ESP,DF,Girona,29,1987,20.4,17,15,11,4,2,6,17,35.3,11,19,3,16,25,42,52,1,Matches
293211e1,Aritz Aduriz,es ESP,FW,Athletic Club,36,1981,23.9,11,8,2,6,3,1,6,16.7,5,6,0,6,3,14,18,0,Matches
355c883a,Martin Agirregabiria,es ESP,DF,Alavés,21,1996,20.3,50,33,31,17,2,32,50,64.0,18,13,7,6,41,91,66,0,Matches
c84c1afc,Imanol Agirretxe,es ESP,FW,Real Sociedad,30,1987,2.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Matches
8617e3d9,Matías Aguirregaray,uy URU,DF,Las Palmas,28,1989,12.8,26,20,12,12,2,12,32,37.5,20,13,1,12,24,50,25,0,Matches
c5eaff5c,Ager Aketxe,es ESP,MF,Athletic Club,23,1993,0.4,1,1,1,0,0,1,2,50.0,1,1,0,1,1,2,0,0,Matches
7a4cd784,David Alba,es ESP,DF,Getafe,18,1999,0.7,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,7,1,Matches
4601e194,Jordi Alba,es ESP,DF,Barcelona,28,1989,30.5,63,42,35,22,6,26,52,50.0,26,34,5,29,68,131,67,1,Matches
348e4809,Raúl Albentosa,es ESP,DF,La Coruña,28,1988,19.4,13,6,9,4,0,7,20,35.0,13,26,19,7,26,39,92,1,Matches
a7a9d95a,Paco Alcácer,es ESP,"MF,FW",Barcelona,23,1993,7.7,4,3,0,2,2,0,6,0.0,6,5,0,5,11,15,3,0,Matches
ba71d071,Pedro Alcalá,es ESP,DF,Girona,28,1989,7.7,9,5,5,4,0,1,3,33.3,2,7,3,4,14,23,41,0,Matches
