id,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
9f9e1b9c,Sabit Abdulai,gh GHA,MF,Getafe,21,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
81442ecb,Marcos Acuña,ar ARG,DF,Sevilla,28,1991,25.9,68,2.63,47,12,6,2,0,1,8,0.31,5,2,0,1,0,0,Matches
3ed84b2c,Bobby Adekanye,nl NED,"FW,MF",Cádiz,21,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
355c883a,Martin Agirregabiria,es ESP,"DF,MF",Alavés,24,1996,17.3,28,1.62,16,9,0,0,3,0,3,0.17,2,1,0,0,0,0,Matches
18abe173,Joseph Aidoo,gh GHA,DF,Celta Vigo,24,1995,14.3,10,0.70,7,0,1,2,0,0,2,0.14,2,0,0,0,0,0,Matches
f2a68b97,Carlos Akapo,gq EQG,DF,Cádiz,27,1993,9.6,7,0.73,4,2,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
31f5b89b,Paul Akouokou,ci CIV,MF,Betis,22,1997,4.2,6,1.43,5,0,0,0,0,1,1,0.24,1,0,0,0,0,0,Matches
788be7f9,Jony Álamo,es ESP,MF,Elche,18,2001,0.8,1,1.23,1,0,0,0,0,0,1,1.23,1,0,0,0,0,0,Matches
4601e194,Jordi Alba,es ESP,"DF,FW",Barcelona,31,1989,33.6,96,2.86,93,2,1,0,0,0,9,0.27,8,0,1,0,0,0,Matches
4bd414c1,Raúl Albiol,es ESP,DF,Villarreal,34,1985,34.6,18,0.52,18,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
a7a9d95a,Paco Alcácer,es ESP,FW,Villarreal,26,1993,17.2,27,1.57,20,1,3,2,1,0,9,0.52,6,0,2,1,0,0,Matches
ba71d071,Pedro Alcalá,es ESP,DF,Cádiz,31,1989,10.1,1,0.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
036bba5f,Rubén Alcaraz,es ESP,MF,Valladolid,29,1991,24.1,28,1.16,23,0,0,1,3,1,2,0.08,2,0,0,0,0,0,Matches
3d7e48ce,Iván Alejo,es ESP,"MF,FW",Cádiz,25,1995,9.2,21,2.29,17,1,1,1,1,0,2,0.22,1,0,0,1,0,0,Matches
6c811eb7,Carles Aleñá,es ESP,MF,Barcelona,22,1998,0.5,1,1.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6c811eb7,Carles Aleñá,es ESP,"MF,FW",Getafe,22,1998,15.2,66,4.35,31,15,6,8,6,0,3,0.20,2,0,1,0,0,0,Matches
1c772b46,Alfon,es ESP,MF,Celta Vigo,21,1999,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
88d91621,Sergio Álvarez,es ESP,"MF,DF",Eibar,28,1992,17.4,19,1.09,18,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
3ecc11d8,Yeray Álvarez,es ESP,DF,Athletic Club,25,1995,21.6,12,0.55,10,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
69c5633e,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,18,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
c46736ab,Jon Ander Garrido,es ESP,MF,Cádiz,30,1989,8.9,10,1.13,9,0,0,0,1,0,2,0.23,1,0,0,0,1,0,Matches
b1e5bbec,Ángel,es ESP,GK,Granada,18,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3024e383,José Ángel,es ESP,DF,Eibar,30,1989,10.0,20,2.00,16,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
56cafd0a,Miguel Ángel Rubio,es ESP,DF,Valladolid,22,1998,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
683788fd,José Antonio Miranda,gq EQG,"MF,DF",Getafe,22,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
f28876e5,Aritz Arambarri,es ESP,DF,Real Sociedad,22,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
58afe001,Mauro Arambarri,uy URU,MF,Getafe,24,1995,33.1,63,1.90,36,11,4,5,7,0,3,0.09,2,0,0,1,0,0,Matches
27a013f7,Néstor Araujo,mx MEX,DF,Celta Vigo,28,1991,27.0,10,0.37,10,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
2bef2bca,Ronald Araújo,uy URU,DF,Barcelona,21,1999,16.8,9,0.54,5,0,1,1,1,1,1,0.06,0,0,0,1,0,0,Matches
850c0a0d,Anaitz Arbilla,es ESP,DF,Eibar,33,1987,31.2,44,1.41,31,3,4,2,2,2,4,0.13,2,0,1,1,0,0,Matches
74d9a90b,Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,21,1999,0.5,1,1.91,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
1e465e70,Sergio Arribas,es ESP,"MF,FW",Real Madrid,18,2001,1.5,4,2.67,4,0,0,0,0,0,2,1.33,2,0,0,0,0,0,Matches
9f0ea33f,Sergio Asenjo,es ESP,GK,Villarreal,31,1989,36.0,5,0.14,3,2,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
45af8a54,Marco Asensio,es ESP,"FW,MF",Real Madrid,24,1996,20.8,67,3.23,48,9,4,3,3,0,8,0.39,5,1,1,1,0,0,Matches
