id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
65d62814,Antonio Adán,es ESP,GK,Atlético Madrid,31,1987,2,1,90,1.0,2,2.00,7,5,71.4,0,1,0,0,0.0,0,0,0,0,,Matches
8875b8c9,Sergio Álvarez,es ESP,GK,Celta Vigo,31,1986,13,13,1170,13.0,22,1.69,58,37,65.5,3,5,5,2,15.4,2,2,0,0,0.0,Matches
011d8c56,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,34,1984,11,11,990,11.0,11,1.00,33,22,66.7,3,2,6,2,18.2,0,0,0,0,,Matches
9f0ea33f,Sergio Asenjo,es ESP,GK,Villarreal,29,1989,32,32,2880,32.0,45,1.41,162,119,73.5,7,12,13,9,28.1,4,2,1,1,33.3,Matches
967f34d3,Rubén Blanco,es ESP,GK,Celta Vigo,23,1995,25,25,2250,25.0,40,1.60,109,69,67.0,7,6,12,6,24.0,5,4,0,1,0.0,Matches
f6798fc3,Yassine Bounou,ma MAR,GK,Girona,27,1991,32,32,2862,31.8,43,1.35,166,124,77.7,8,10,14,8,25.0,6,6,0,0,0.0,Matches
8d957256,Leandro Chichizola,ar ARG,GK,Getafe,28,1990,1,1,90,1.0,1,1.00,1,0,0.0,1,0,0,0,0.0,0,0,0,0,,Matches
04ac8285,Jasper Cillessen,nl NED,GK,Barcelona,29,1989,3,3,270,3.0,4,1.33,14,10,78.6,1,1,1,1,33.3,1,1,0,0,0.0,Matches
1840e36d,Thibaut Courtois,be BEL,GK,Real Madrid,26,1992,27,27,2430,27.0,36,1.33,104,67,71.2,14,3,10,8,29.6,8,6,1,1,14.3,Matches
75751c99,Iván Cuéllar,es ESP,GK,Leganés,34,1984,34,34,3056,33.9,38,1.12,115,78,68.7,10,12,12,9,26.5,2,2,0,0,0.0,Matches
17a1299d,Javier Díaz,es ESP,GK,Sevilla,21,1997,1,1,90,1.0,1,1.00,2,1,100.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
fc70e345,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,24,1993,21,21,1890,21.0,35,1.67,95,59,69.5,5,4,12,3,14.3,7,6,1,0,14.3,Matches
ac295d9e,Marko Dmitrović,rs SRB,GK,Eibar,26,1992,24,24,2160,24.0,30,1.25,86,55,68.6,9,6,9,5,20.8,4,3,1,0,25.0,Matches
c9cb972b,Jaume Doménech,es ESP,GK,Valencia,27,1990,4,4,360,4.0,1,0.25,13,12,92.3,2,2,0,3,75.0,0,0,0,0,,Matches
a01c3d54,Aitor Fernández,es ESP,GK,Levante,27,1991,16,16,1440,16.0,24,1.50,83,60,75.9,4,5,7,2,12.5,4,4,0,0,0.0,Matches
307fcd26,Andrés Fernández,es ESP,GK,Villarreal,31,1986,6,6,540,6.0,7,1.17,23,16,73.9,3,2,1,2,33.3,1,1,0,0,0.0,Matches
17d9e354,Alberto García,es ESP,GK,Rayo Vallecano,33,1985,17,17,1530,17.0,35,2.06,87,50,60.9,3,4,10,4,23.5,4,1,3,0,75.0,Matches
9109185e,Iago Herrerín,es ESP,GK,Athletic Club,30,1988,31,31,2790,31.0,32,1.03,87,55,66.7,12,10,9,10,32.3,3,3,0,0,0.0,Matches
26f2473f,Gorka Iraizoz,es ESP,GK,Girona,37,1981,7,6,558,6.2,10,1.61,39,30,79.5,1,0,5,1,16.7,2,2,0,0,0.0,Matches
129dd8e7,Aleksandar Jovanović,rs SRB,GK,Huesca,25,1992,12,12,1080,12.0,19,1.58,46,28,63.0,1,4,7,0,0.0,2,2,0,0,0.0,Matches
73683fa9,Diego López,es ESP,GK,Espanyol,36,1981,38,38,3420,38.0,50,1.32,167,117,73.7,14,11,13,10,26.3,8,6,2,0,25.0,Matches
