id,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
a2c1a8d3,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4.0,5,0,0,0,0,5.0,0.27,0.0,0.00,13,31,41.9,56,12,33.9,33.1,26,46.2,36.0,48,1,2.1,6,1.50,17.5,Matches
9f0ea33f,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6.0,9,1,0,1,0,8.9,0.28,-0.1,-0.01,15,52,28.8,170,38,21.2,28.0,56,28.6,32.2,105,3,2.9,14,2.33,16.8,Matches
e4346678,Édgar Badía,es ESP,GK,Elche,29,1992,24.0,35,7,0,5,0,37.3,0.26,+2.3,+0.10,182,408,44.6,618,106,41.9,36.1,210,71.0,49.2,399,17,4.3,41,1.71,16.2,Matches
f6798fc3,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,31.0,24,2,2,6,0,26.6,0.24,+2.6,+0.09,152,378,40.2,829,116,30.2,33.1,241,53.1,41.2,420,27,6.4,24,0.77,12.8,Matches
10072610,Claudio Bravo,cl CHI,GK,Betis,38,1983,16.2,19,1,0,1,2,18.6,0.31,+1.6,+0.10,109,272,40.1,405,53,51.9,39.9,99,62.6,47.9,251,6,2.4,9,0.56,11.0,Matches
e1846dde,Cárdenas,es ESP,GK,Levante,24,1997,24.0,46,4,1,5,0,41.5,0.31,-4.5,-0.19,92,296,31.1,525,85,41.9,36.6,198,38.4,35.7,332,10,3.0,26,1.08,15.6,Matches
58bc7d18,Kiko Casilla,es ESP,GK,Elche,34,1986,14.0,17,0,0,1,0,17.2,0.29,+0.2,+0.01,75,218,34.4,348,77,42.5,36.4,136,51.5,40.8,217,8,3.7,15,1.07,15.2,Matches
04ac8285,Jasper Cillessen,nl NED,GK,Valencia,32,1989,16.2,29,5,0,4,2,28.6,0.31,+1.6,+0.10,104,242,43.0,351,69,49.0,39.8,94,74.5,54.6,195,6,3.1,14,0.86,16.0,Matches
4eae5bc4,Diego Conde,es ESP,GK,Getafe,22,1998,0.1,0,0,0,0,0,0.0,,0.0,0.00,0,6,0.0,4,0,100.0,61.0,2,100.0,68.0,5,1,20.0,0,0.00,5.0,Matches
1840e36d,Thibaut Courtois,be BEL,GK,Real Madrid,29,1992,36.0,29,2,1,2,0,33.3,0.25,+4.3,+0.12,74,251,29.5,936,188,20.3,28.8,199,30.7,34.3,467,21,4.5,31,0.86,15.5,Matches
17a1299d,Javier Díaz,es ESP,GK,Sevilla,24,1997,1.0,1,0,0,0,0,0.6,0.28,-0.4,-0.45,5,10,50.0,31,2,25.8,29.1,3,66.7,49.3,17,1,5.9,0,0.00,13.7,Matches
fc70e345,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,27,1993,30.8,37,7,0,3,1,37.7,0.23,+1.7,+0.05,182,554,32.9,711,151,54.3,42.1,230,73.0,53.5,405,35,8.6,35,1.14,13.9,Matches
b6160ad0,Matías Dituro,ar ARG,GK,Celta Vigo,34,1987,38.0,43,4,0,1,2,43.3,0.27,+2.3,+0.06,303,804,37.7,1176,131,51.3,40.3,283,71.0,52.4,452,36,8.0,37,0.97,14.3,Matches
ac295d9e,Marko Dmitrović,rs SRB,GK,Sevilla,29,1992,6.0,5,0,0,0,0,4.1,0.21,-0.9,-0.16,24,58,41.4,191,27,24.6,30.5,33,33.3,35.8,66,4,6.1,12,2.00,17.5,Matches
c9cb972b,Jaume Doménech,es ESP,GK,Valencia,30,1990,3.8,4,0,0,1,1,4.3,0.39,+1.3,+0.34,29,67,43.3,75,7,56.0,42.6,32,78.1,52.6,66,1,1.5,2,0.52,9.3,Matches
67669ce7,Aarón Escandell,es ESP,GK,Granada,25,1995,3.2,6,2,0,0,0,4.2,0.14,-1.8,-0.57,35,88,39.8,91,13,64.8,44.0,37,78.4,51.2,41,3,7.3,10,3.17,16.1,Matches
a01c3d54,Aitor Fernández,es ESP,GK,Levante,30,1991,13.0,29,1,0,8,0,23.5,0.27,-5.5,-0.42,59,154,38.3,286,66,41.6,36.2,92,38.0,34.9,177,9,5.1,21,1.62,18.1,Matches
87b498b0,Joan García,es ESP,GK,Espanyol,20,2001,1.2,3,0,0,0,0,1.0,0.33,-2.0,-1.68,4,10,40.0,32,9,25.0,28.8,2,100.0,71.0,16,0,0.0,5,4.17,26.3,Matches
30061f53,Dominik Greif,sk SVK,GK,Mallorca,24,1997,1.0,3,0,1,0,0,1.5,0.24,-1.5,-1.53,1,10,10.0,21,6,33.3,34.1,10,30.0,32.7,13,0,0.0,1,1.00,12.5,Matches
a4995f48,Sergio Herrera,es ESP,GK,Osasuna,28,1993,36.0,48,4,0,10,1,48.1,0.29,+1.1,+0.03,388,850,45.6,852,78,69.0,46.5,306,85.6,58.5,529,23,4.3,64,1.78,18.1,Matches
6c4776b1,Jeremías Ledesma,ar ARG,GK,Cádiz,28,1993,38.0,51,11,0,10,0,52.8,0.24,+1.8,+0.05,272,792,34.3,840,119,63.3,46.0,313,83.1,60.2,586,42,7.2,28,0.74,12.1,Matches
73683fa9,Diego López,es ESP,GK,Espanyol,39,1981,35.3,49,3,0,4,2,50.3,0.31,+3.3,+0.09,158,429,36.8,859,207,33.8,33.8,298,46.6,38.7,616,35,5.7,43,1.22,13.7,Matches
3061e1ec,Andriy Lunin,ua UKR,GK,Real Madrid,22,1999,2.0,2,1,0,0,0,3.6,0.22,+1.6,+0.81,5,10,50.0,57,13,7.0,23.3,23,26.1,33.6,39,3,7.7,0,0.00,9.9,Matches
d4b73232,Giorgi Mamardashvili,ge GEO,GK,Valencia,20,2000,18.0,20,2,0,2,0,21.1,0.26,+1.1,+0.06,115,314,36.6,346,64,57.8,41.4,149,76.5,53.7,273,13,4.8,29,1.61,16.3,Matches
3318286e,Luís Maximiano,pt POR,GK,Granada,22,1999,34.8,55,5,0,7,2,56.0,0.28,+3.0,+0.09,232,730,31.8,839,149,56.7,42.6,335,75.8,52.5,574,29,5.1,54,1.55,17.6,Matches
a9dc785c,Neto,br BRA,GK,Barcelona,32,1989,3.0,4,0,1,1,0,4.1,0.29,+0.1,+0.02,17,34,50.0,106,18,28.3,31.6,24,16.7,29.2,42,0,0.0,4,1.33,18.0,Matches
ee8508c0,Jan Oblak,si SVN,GK,Atlético Madrid,28,1993,38.0,43,7,2,4,3,32.3,0.23,-7.7,-0.20,170,598,28.4,810,155,49.9,39.0,283,68.6,48.6,477,27,5.7,29,0.76,13.8,Matches
b5bdf144,Oier Olazábal,es ESP,GK,Espanyol,31,1989,1.5,1,1,0,0,0,2.4,0.15,+1.4,+0.91,9,27,33.3,33,5,51.5,40.8,10,100.0,57.2,30,3,10.0,0,0.00,3.7,Matches
d6e3d7fb,Jesús Owono,gq EQG,GK,Alavés,20,2001,1.0,1,0,0,0,0,0.8,0.19,-0.2,-0.25,9,21,42.9,20,2,90.0,53.3,3,100.0,68.3,8,0,0.0,2,2.00,17.6,Matches
97852360,Fernando Pacheco,es ESP,GK,Alavés,29,1992,33.9,60,5,0,9,0,51.8,0.31,-8.2,-0.24,331,693,47.8,721,85,64.2,44.5,308,74.7,50.6,545,24,4.4,43,1.27,15.7,Matches
8f29e08b,Juan Pérez,es ESP,GK,Osasuna,25,1996,2.0,3,0,0,1,1,1.1,0.26,-0.9,-0.47,8,26,30.8,32,6,56.3,43.6,9,88.9,61.6,17,1,5.9,7,3.50,22.0,Matches
f38284bb,Alejandro Primo,es ESP,GK,Levante,17,2004,1.0,1,0,0,0,0,0.8,0.41,-0.2,-0.18,2,6,33.3,17,0,29.4,31.2,8,12.5,20.9,19,0,0.0,0,0.00,15.0,Matches
605eb473,Manolo Reina,es ESP,GK,Mallorca,36,1985,21.0,26,2,0,1,1,27.2,0.32,+2.2,+0.11,140,357,39.2,453,67,53.9,40.5,188,60.1,43.9,333,14,4.2,9,0.43,11.6,Matches
374ee424,Álex Remiro,es ESP,GK,Real Sociedad,26,1995,35.0,32,4,1,5,0,31.4,0.24,-0.6,-0.02,195,466,41.8,1015,125,32.6,32.9,241,56.0,45.1,465,18,3.9,48,1.37,16.4,Matches
5f0241b2,Sergio Rico,es ESP,GK,Mallorca,27,1993,14.0,29,3,0,4,2,21.4,0.31,-5.6,-0.40,94,201,46.8,270,50,52.2,39.4,90,66.7,48.4,194,2,1.0,5,0.36,12.6,Matches
924ff27e,Leonardo Román,es ESP,GK,Mallorca,21,2000,2.0,5,1,0,0,1,3.6,0.17,-0.4,-0.18,9,27,33.3,51,7,39.2,34.2,16,43.8,36.6,36,1,2.8,5,2.50,18.9,Matches
625c144a,Gerónimo Rulli,ar ARG,GK,Villarreal,29,1992,32.0,28,3,0,2,1,28.2,0.25,+1.2,+0.04,131,333,39.3,1073,161,23.1,29.7,214,39.7,37.4,478,22,4.6,52,1.63,16.5,Matches
