id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
65d62814,Antonio Adán,es ESP,GK,Atlético Madrid,31,1987,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
5890cef1,Aday,es ESP,"DF,MF",Girona,30,1987,7.2,2,0,0,6,8,0,50,7,8,0,1,0,24,2,5,28.6,Matches
293211e1,Aritz Aduriz,es ESP,FW,Athletic Club,37,1981,10.5,5,0,0,28,8,12,6,0,2,0,1,0,17,52,57,47.7,Matches
cacadf4f,Luis Advíncula,pe PER,DF,Rayo Vallecano,28,1990,26.5,6,2,2,48,46,0,54,19,38,2,0,0,131,24,33,42.1,Matches
355c883a,Martin Agirregabiria,es ESP,DF,Alavés,22,1996,22.6,4,0,0,24,28,0,42,27,29,0,0,0,116,19,27,41.3,Matches
18dc8533,Juan Aguilera,es ESP,MF,Huesca,32,1985,3.8,1,0,0,3,6,0,2,4,2,0,0,0,27,4,4,50.0,Matches
f2a68b97,Carlos Akapo,gq EQG,DF,Huesca,25,1993,11.4,2,0,0,16,13,0,7,23,15,0,0,0,54,20,14,58.8,Matches
06efa9dc,Sergio Akieme,es ESP,DF,Rayo Vallecano,20,1997,2.0,0,0,0,2,2,0,8,1,3,0,0,1,8,1,5,16.7,Matches
4601e194,Jordi Alba,es ESP,DF,Barcelona,29,1989,33.2,6,0,0,25,19,9,52,60,22,1,0,0,208,16,37,30.2,Matches
ba71d071,Pedro Alcalá,es ESP,DF,Girona,29,1989,20.8,9,0,0,21,13,2,3,36,23,0,0,0,106,84,46,64.6,Matches
036bba5f,Rubén Alcaraz,es ESP,MF,Valladolid,27,1991,33.1,13,0,0,69,109,1,39,38,54,0,0,0,268,49,66,42.6,Matches
46166b49,Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,25,1992,1.6,0,0,0,7,4,3,0,0,1,0,0,0,4,6,8,42.9,Matches
3d7e48ce,Iván Alejo,es ESP,MF,Getafe,23,1995,1.6,2,1,0,10,7,0,7,0,0,0,0,0,5,3,3,50.0,Matches
6c811eb7,Carles Aleñá,es ESP,MF,Barcelona,20,1998,7.1,2,0,0,9,14,1,3,2,4,0,0,0,38,5,4,55.6,Matches
3e1858af,Alexander,ar ARG,FW,Leganés,29,1988,0.1,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,,Matches
b18a3023,Júnior Alonso,py PAR,"DF,MF",Celta Vigo,25,1993,6.0,2,0,0,6,2,1,12,5,9,0,0,0,33,18,7,72.0,Matches
88d91621,Sergio Álvarez,es ESP,"DF,MF",Eibar,26,1992,11.9,1,0,0,19,6,1,0,17,25,0,0,0,76,35,20,63.6,Matches
8875b8c9,Sergio Álvarez,es ESP,GK,Celta Vigo,31,1986,13.0,1,0,0,1,0,0,0,0,0,0,1,0,18,4,0,100.0,Matches
3ecc11d8,Yeray Álvarez,es ESP,DF,Athletic Club,23,1995,29.0,10,0,0,31,24,0,4,63,30,0,0,0,138,93,66,58.5,Matches
9260926b,Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,25,1993,8.5,2,0,0,12,10,1,6,11,20,0,0,0,45,24,16,60.0,Matches
d70a2141,Jordi Amat,id IDN,DF,Rayo Vallecano,26,1992,30.7,9,0,0,47,9,1,0,43,31,0,2,0,147,48,48,50.0,Matches
f3b1d9a2,Amath,sn SEN,MF,Getafe,22,1996,11.1,4,0,0,27,21,3,11,10,13,0,0,0,55,12,22,35.3,Matches
3024e383,José Ángel,es ESP,DF,Eibar,28,1989,33.6,10,0,0,22,17,1,260,41,46,0,1,0,234,49,34,59.0,Matches
011d8c56,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,34,1984,11.0,1,0,0,0,1,0,0,1,1,0,0,0,18,4,0,100.0,Matches
dbe519cf,Antoñito,es ESP,"DF,MF",Valladolid,30,1987,20.7,5,0,0,29,12,5,93,18,21,0,0,0,84,12,23,34.3,Matches
3e4f735d,Vitorino Antunes,pt POR,"DF,MF",Getafe,31,1987,24.2,5,0,0,37,20,1,141,43,26,0,0,0,151,21,37,36.2,Matches
c93231dc,Anuar,ma MAR,"MF,FW",Valladolid,23,1995,12.0,6,0,0,29,15,4,2,11,19,0,0,0,53,26,32,44.8,Matches
a230ebcc,Emmanuel Apeh,ng NGA,"FW,MF",Celta Vigo,21,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
58afe001,Mauro Arambarri,uy URU,MF,Getafe,22,1995,29.7,8,0,0,65,57,1,24,30,33,1,1,1,166,53,44,54.6,Matches
2b15a82a,Guilherme Arana,br BRA,DF,Sevilla,21,1997,7.0,3,0,0,5,8,0,19,9,6,0,0,0,35,3,3,50.0,Matches
27a013f7,Néstor Araujo,mx MEX,DF,Celta Vigo,26,1991,29.8,3,1,1,15,4,1,2,35,22,0,1,0,127,70,46,60.3,Matches
850c0a0d,Anaitz Arbilla,es ESP,DF,Eibar,31,1987,21.7,6,1,1,14,5,0,8,46,24,0,0,0,151,59,41,59.0,Matches
fdd60087,Santiago Arias,co COL,DF,Atlético Madrid,26,1992,19.7,4,0,0,21,32,2,51,34,32,0,0,0,99,41,34,54.7,Matches
46e07328,José Arnaiz,es ESP,"MF,FW",Leganés,23,1995,1.3,0,0,0,1,4,0,2,2,1,0,0,0,5,4,1,80.0,Matches
9f0ea33f,Sergio Asenjo,es ESP,GK,Villarreal,29,1989,32.0,0,0,0,0,3,0,0,3,0,0,0,0,37,7,2,77.8,Matches
45af8a54,Marco Asensio,es ESP,FW,Real Madrid,22,1996,19.8,3,0,0,18,21,8,78,14,8,3,0,0,76,4,14,22.2,Matches
7dcf86f6,Iago Aspas,es ESP,"FW,MF",Celta Vigo,30,1987,25.0,5,0,0,16,43,7,32,16,11,1,0,0,97,24,43,35.8,Matches
253a06b9,Ezequiel Ávila,ar ARG,"FW,MF",Huesca,24,1994,22.2,12,1,1,38,46,10,40,13,10,0,0,0,75,68,69,49.6,Matches
1f54ed90,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,27,1991,23.4,4,2,0,24,13,1,1,29,33,0,3,0,154,68,30,69.4,Matches
09a9e921,Carlos Bacca,co COL,FW,Villarreal,31,1986,14.1,3,0,0,19,9,15,6,8,2,1,0,0,30,21,24,46.7,Matches
a58bb1e1,Gareth Bale,wls WAL,FW,Real Madrid,29,1989,19.8,4,0,0,18,21,15,70,11,8,0,0,0,36,37,35,51.4,Matches
1fe67e86,Mikel Balenziaga,es ESP,DF,Athletic Club,30,1988,5.8,0,0,0,10,1,1,8,2,6,0,0,0,25,5,4,55.6,Matches
fa937f7a,Éver Banega,ar ARG,MF,Sevilla,30,1988,29.6,17,2,1,57,67,2,131,28,50,0,1,0,290,11,25,30.6,Matches
35f6db55,Léo Baptistão,br BRA,"FW,MF",Espanyol,25,1992,13.7,3,0,0,25,22,4,10,8,14,0,0,0,76,14,20,41.2,Matches
cac2537b,Enis Bardhi,mk MKD,MF,Levante,23,1995,31.5,6,0,0,61,47,5,72,31,43,1,1,0,198,10,27,27.0,Matches
487d9b09,Antonio Barragán,es ESP,"DF,FW",Betis,31,1987,10.4,4,0,0,21,9,0,41,5,8,0,0,0,37,10,11,47.6,Matches
200e89e1,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,16,2001,4.4,0,0,0,12,6,3,6,4,2,0,0,0,18,2,7,22.2,Matches
b742cc0d,Marc Bartra,es ESP,DF,Betis,27,1991,32.5,4,0,0,30,39,4,5,60,55,0,1,0,164,74,48,60.7,Matches
8c44e37b,Borja Bastón,es ESP,FW,Alavés,25,1992,16.0,4,0,0,41,13,12,5,4,7,0,0,0,40,48,100,32.4,Matches
2973d8ff,Michy Batshuayi,be BEL,FW,Valencia,24,1993,5.9,3,0,0,16,8,5,3,0,1,0,0,0,14,10,17,37.0,Matches
debc6b55,Jon Bautista,es ESP,FW,Real Sociedad,23,1995,6.6,1,0,0,14,9,9,0,5,3,1,0,0,14,52,57,47.7,Matches
d8712bf9,Bebé,cv CPV,"FW,MF",Rayo Vallecano,28,1990,14.5,6,0,0,22,9,8,108,9,9,1,0,0,82,24,18,57.1,Matches
d8712bf9,Bebé,cv CPV,MF,Eibar,28,1990,0.7,0,0,0,3,1,0,10,1,0,0,0,0,2,0,1,0.0,Matches
ed5c5fa3,Fran Beltrán,es ESP,MF,Celta Vigo,19,1999,16.9,3,0,0,12,14,0,4,19,17,0,0,0,100,5,17,22.7,Matches
942b4f90,Wissam Ben Yedder,fr FRA,FW,Sevilla,27,1990,31.2,3,0,0,26,24,30,27,11,16,0,0,0,93,39,94,29.3,Matches
70d74ece,Karim Benzema,fr FRA,FW,Real Madrid,30,1987,32.8,1,0,0,23,22,36,20,8,11,1,0,0,60,43,51,45.7,Matches
b6e50615,Yuri Berchiche,es ESP,"DF,FW",Athletic Club,28,1990,34.7,8,0,0,38,78,3,102,42,31,0,0,0,270,75,37,67.0,Matches
04a65a8f,Markel Bergara,es ESP,MF,Getafe,32,1986,0.6,0,0,0,1,0,0,0,1,2,0,0,0,5,1,3,25.0,Matches
697295b1,Pedro Bigas,es ESP,DF,Eibar,27,1990,6.5,1,0,0,5,4,0,0,8,3,0,0,0,29,15,8,65.2,Matches
c4dce677,Alejandro Blanco,es ESP,"FW,MF",Alavés,19,1998,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,Matches
967f34d3,Rubén Blanco,es ESP,GK,Celta Vigo,23,1995,25.0,2,0,0,1,0,0,0,2,0,0,0,0,19,3,1,75.0,Matches
9ab48bde,Pablo de Blasis,ar ARG,"DF,MF",Eibar,30,1988,16.9,2,1,0,18,11,0,65,13,19,0,0,0,99,27,32,45.8,Matches
2e23c66b,Emmanuel Boateng,gh GHA,FW,Levante,22,1996,7.8,2,0,0,14,19,9,3,1,3,0,0,0,12,28,24,53.8,Matches
f4ec4fd0,Kevin-Prince Boateng,gh GHA,FW,Barcelona,31,1987,2.7,1,0,0,3,9,3,0,1,2,0,0,0,5,3,6,33.3,Matches
13b0c150,Daniele Bonera,it ITA,DF,Villarreal,37,1981,2.6,1,0,0,2,0,0,0,4,2,0,0,1,9,1,3,25.0,Matches
1001ae82,Ryad Boudebouz,dz ALG,"MF,FW",Celta Vigo,28,1990,8.0,2,1,0,6,9,0,47,3,4,0,1,0,34,7,18,28.0,Matches
1001ae82,Ryad Boudebouz,dz ALG,"MF,FW",Betis,28,1990,6.0,1,0,0,5,8,1,24,5,4,0,0,0,19,4,15,21.1,Matches
b0c71810,Sofiane Boufal,ma MAR,"MF,FW",Celta Vigo,24,1993,23.2,6,0,0,42,60,1,60,10,21,1,0,0,124,17,19,47.2,Matches
f6798fc3,Yassine Bounou,ma MAR,GK,Girona,27,1991,31.8,2,0,0,0,3,0,0,1,0,0,0,1,32,5,0,100.0,Matches
fd771f95,Martin Braithwaite,dk DEN,FW,Leganés,27,1991,15.6,5,0,0,24,16,14,2,3,3,1,0,0,44,29,44,39.7,Matches
4accb7e0,Darko Brašanac,rs SRB,MF,Alavés,26,1992,17.6,5,0,0,34,15,0,14,13,16,0,0,0,109,31,30,50.8,Matches
1519a888,Rajko Brežančić,rs SRB,DF,Huesca,28,1989,0.7,0,0,0,0,1,0,2,0,0,0,0,0,3,1,0,100.0,Matches
7b5ab7f2,Bryan,es ESP,"MF,FW",Sevilla,17,2001,1.9,0,0,0,3,8,0,9,1,4,0,0,0,11,0,2,0.0,Matches
45e304c8,Burgui,es ESP,"MF,FW",Alavés,24,1993,6.2,1,0,0,10,20,3,14,0,6,0,0,0,38,4,2,66.7,Matches
5ab0ea87,Sergio Busquets,es ESP,MF,Barcelona,30,1988,30.2,10,0,0,38,54,0,2,54,60,0,0,0,194,49,52,48.5,Matches
f3112790,Unai Bustinza,es ESP,DF,Leganés,26,1992,22.5,11,1,1,31,30,0,24,53,31,0,2,0,101,53,41,56.4,Matches
e7ab4179,Erick Cabaco,uy URU,DF,Levante,23,1995,18.1,11,2,1,33,13,1,2,29,13,0,1,0,69,38,34,52.8,Matches
92b4a127,Gustavo Cabral,ar ARG,DF,Celta Vigo,32,1985,21.1,6,2,2,19,6,4,0,33,26,0,0,1,96,70,44,61.4,Matches
69cbc8b6,Leandro Cabrera,uy URU,DF,Getafe,27,1991,31.0,11,1,1,35,14,2,28,52,26,0,0,1,137,158,68,69.9,Matches
bdef8cdb,Jordi Calavera,es ESP,DF,Eibar,22,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
41b3069f,Fernando Calero,es ESP,DF,Valladolid,22,1995,34.8,7,0,0,35,12,0,4,55,31,0,2,0,160,69,89,43.7,Matches
6922f806,Jonathan Calleri,ar ARG,FW,Alavés,24,1993,31.9,6,0,0,70,70,15,48,7,13,2,0,0,86,198,234,45.8,Matches
1a1609ab,Juanjo Camacho,es ESP,"MF,DF",Huesca,37,1980,0.4,0,0,0,0,0,0,2,0,1,0,0,0,4,1,3,25.0,Matches
873619c6,Sergio Camello,es ESP,FW,Atlético Madrid,17,2001,0.5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,Matches
61220da2,José Campaña,es ESP,MF,Levante,25,1993,35.7,11,0,0,42,35,4,149,48,45,0,1,0,268,41,45,47.7,Matches
a6de370d,Sergio Canales,es ESP,MF,Betis,27,1991,29.5,5,0,0,28,50,11,143,9,30,0,0,0,150,6,22,21.4,Matches
37f1cf47,Ander Capa,es ESP,"DF,FW",Athletic Club,26,1992,18.2,9,0,0,44,16,8,50,30,27,0,0,0,78,28,15,65.1,Matches
b92b456a,Marc Cardona,es ESP,"FW,MF",Eibar,23,1995,6.7,1,0,0,9,12,5,7,1,5,0,0,0,33,16,23,41.0,Matches
e1deea75,Daniel Carriço,pt POR,DF,Sevilla,29,1988,23.7,10,0,0,30,6,1,2,31,18,0,0,0,118,58,47,55.2,Matches
8f898ba8,Guido Carrillo,ar ARG,FW,Leganés,27,1991,22.1,5,0,0,41,29,9,2,8,14,0,0,0,58,209,151,58.1,Matches
4958bfb2,Dani Carvajal,es ESP,DF,Real Madrid,26,1992,23.4,10,0,0,30,34,2,57,26,24,0,0,0,137,20,22,47.6,Matches
dee86451,William Carvalho,pt POR,MF,Betis,26,1992,26.5,7,0,0,24,35,2,3,12,27,0,0,0,202,40,17,70.2,Matches
4d224fe8,Casemiro,br BRA,MF,Real Madrid,26,1992,25.7,7,1,1,47,49,0,8,41,52,1,2,0,184,83,51,61.9,Matches
958bba56,Santiago Cáseres,ar ARG,MF,Villarreal,21,1997,17.6,10,0,0,34,13,0,0,14,35,0,0,0,98,25,42,37.3,Matches
274ab13c,Catena,es ESP,DF,Rayo Vallecano,23,1994,2.0,1,0,0,4,2,0,0,8,4,0,1,0,7,6,4,60.0,Matches
e2e9c250,Santi Cazorla,es ESP,"MF,FW",Villarreal,33,1984,29.4,2,0,0,22,58,0,158,28,34,0,0,0,201,9,33,21.4,Matches
c0617e2b,Dani Ceballos,es ESP,"MF,FW",Real Madrid,21,1996,13.9,3,0,0,16,40,1,8,15,21,0,0,0,102,9,18,33.3,Matches
c4b8bcf4,Charles,br BRA,FW,Eibar,34,1984,19.3,4,0,0,39,29,13,12,4,5,1,0,0,54,101,125,44.7,Matches
e98f3a6a,Chechu,es ESP,DF,Rayo Vallecano,36,1982,1.0,0,0,0,0,1,0,0,2,0,0,0,0,3,2,1,66.7,Matches
7f203b54,Chema,es ESP,DF,Levante,26,1992,13.9,7,0,0,19,5,0,0,19,19,0,0,0,51,31,16,66.0,Matches
0ac94a23,Denis Cheryshev,ru RUS,MF,Valencia,27,1990,19.0,2,0,0,42,19,10,95,15,32,0,0,0,113,33,43,43.4,Matches
8d957256,Leandro Chichizola,ar ARG,GK,Getafe,28,1990,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
b8a642fc,Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,19,1999,19.0,2,0,0,20,20,19,24,10,11,0,0,0,102,15,29,34.1,Matches
