id,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
65d62814,Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,0.3,4,6,66.7,100,84,2,2,100.0,1,1,100.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
293211e1,Aritz Aduriz,es ESP,"FW,MF",Athletic Club,38,1981,2.3,32,57,56.1,419,68,21,32,65.6,6,13,46.2,2,5,40.0,0,0.0,0.0,0.0,0,4,0,0,6,Matches
073b1b37,Lumor Agbenyenu,gh GHA,DF,Mallorca,22,1996,20.1,691,972,71.1,10575,4948,376,435,86.4,251,340,73.8,38,108,35.2,0,1.6,1.6,-1.6,16,44,23,12,69,Matches
355c883a,Martin Agirregabiria,es ESP,DF,Alavés,23,1996,23.3,714,1028,69.5,11577,5419,374,449,83.3,268,375,71.5,52,128,40.6,1,0.7,0.8,+0.3,10,37,12,5,56,Matches
18abe173,Joseph Aidoo,gh GHA,DF,Celta Vigo,23,1995,27.8,1078,1250,86.2,21536,7006,305,336,90.8,647,708,91.4,112,167,67.1,1,0.7,0.5,+0.3,3,57,2,0,89,Matches
4601e194,Jordi Alba,es ESP,DF,Barcelona,30,1989,24.3,1858,2149,86.5,26342,7785,1109,1203,92.2,566,652,86.8,95,137,69.3,5,4.3,4.2,+0.7,30,120,40,11,150,Matches
4bd414c1,Raúl Albiol,es ESP,DF,Villarreal,33,1985,36.0,1635,1954,83.7,36891,12724,388,448,86.6,909,990,91.8,320,476,67.2,0,0.3,0.6,-0.3,4,98,5,1,118,Matches
a7a9d95a,Paco Alcácer,es ESP,FW,Villarreal,25,1993,10.3,179,227,78.9,2197,326,115,132,87.1,38,54,70.4,6,8,75.0,1,1.4,1.3,-0.4,9,5,5,0,15,Matches
036bba5f,Rubén Alcaraz,es ESP,MF,Valladolid,28,1991,21.4,830,1066,77.9,17151,5017,316,366,86.3,353,406,86.9,148,248,59.7,2,1.0,1.2,+1.0,16,99,4,1,100,Matches
46166b49,Álex Alegría,es ESP,FW,Mallorca,26,1992,1.2,21,34,61.8,296,29,15,20,75.0,2,5,40.0,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,3,Matches
