id,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
65d62814,Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,0.3,6,5,1,0,0,0,0,0,0,0,0,0,4,0,0,Matches
293211e1,Aritz Aduriz,es ESP,"FW,MF",Athletic Club,38,1981,2.3,57,56,0,0,0,1,0,0,0,0,0,0,32,1,1,Matches
073b1b37,Lumor Agbenyenu,gh GHA,DF,Mallorca,22,1996,20.1,972,739,225,10,0,4,81,215,0,0,0,0,691,8,42,Matches
355c883a,Martin Agirregabiria,es ESP,DF,Alavés,23,1996,23.3,1028,770,254,14,1,3,33,239,1,0,1,0,714,4,39,Matches
18abe173,Joseph Aidoo,gh GHA,DF,Celta Vigo,23,1995,27.8,1250,1203,47,37,1,7,1,10,0,0,0,0,1078,0,14,Matches
4601e194,Jordi Alba,es ESP,DF,Barcelona,30,1989,24.3,2149,1938,206,33,3,9,65,171,2,0,0,0,1858,5,33,Matches
4bd414c1,Raúl Albiol,es ESP,DF,Villarreal,33,1985,36.0,1954,1900,49,46,1,37,3,2,0,0,0,0,1635,5,8,Matches
a7a9d95a,Paco Alcácer,es ESP,FW,Villarreal,25,1993,10.3,227,200,27,2,2,0,1,1,1,0,0,0,179,0,4,Matches
036bba5f,Rubén Alcaraz,es ESP,MF,Valladolid,28,1991,21.4,1066,956,106,82,1,48,26,3,21,10,3,0,830,4,13,Matches
46166b49,Álex Alegría,es ESP,FW,Mallorca,26,1992,1.2,34,33,0,0,0,1,1,0,0,0,0,0,21,1,0,Matches
6c811eb7,Carles Aleñá,es ESP,MF,Barcelona,21,1998,1.9,157,151,5,1,0,3,4,0,4,0,3,0,141,1,3,Matches
6c811eb7,Carles Aleñá,es ESP,"MF,FW",Betis,21,1998,8.2,393,386,5,3,1,4,3,2,0,0,0,0,333,2,6,Matches
88d91621,Sergio Álvarez,es ESP,"MF,DF",Eibar,27,1992,12.7,438,428,9,7,0,9,2,2,0,0,0,0,308,1,5,Matches
8875b8c9,Sergio Álvarez,es ESP,GK,Celta Vigo,32,1986,2.0,54,31,23,4,0,0,0,0,0,0,0,0,39,0,0,Matches
3ecc11d8,Yeray Álvarez,es ESP,DF,Athletic Club,24,1995,31.2,1500,1421,70,59,1,29,12,11,0,0,0,0,1164,9,8,Matches
9260926b,Ibrahim Amadou,fr FRA,MF,Leganés,26,1993,8.6,280,278,2,1,1,2,5,1,0,0,0,0,222,0,6,Matches
f3b1d9a2,Amath,sn SEN,MF,Getafe,23,1996,0.7,17,16,1,0,0,1,0,0,1,0,0,0,11,0,3,Matches
