id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
bbe88396,Aly Abeid,mr MTN,DF,Levante,19,1997,1,77,77,2.3,0.9,1,77,0,0,,1,0.00,0,3,-3,-3.51,-3.21,0.5,0.9,-0.4,-0.45,+0.04,Matches
65d62814,Antonio Adán,es ESP,GK,Betis,30,1987,30,2700,90,78.9,30.0,30,90,30,0,,0,1.53,50,53,-3,-0.10,-0.35,35.2,41.5,-6.3,-0.21,-0.61,Matches
5890cef1,Aday,es ESP,DF,Girona,29,1987,31,1835,59,53.7,20.4,20,82,13,11,18,4,1.16,29,31,-2,-0.10,+0.30,29.4,27.6,+1.8,+0.09,+0.18,Matches
293211e1,Aritz Aduriz,es ESP,FW,Athletic Club,36,1981,33,2152,65,62.9,23.9,21,86,15,12,30,2,1.12,26,24,+2,+0.08,+0.79,29.8,27.4,+2.4,+0.10,+0.31,Matches
355c883a,Martin Agirregabiria,es ESP,DF,Alavés,21,1996,21,1828,87,53.5,20.3,20,89,19,1,45,4,1.81,28,19,+9,+0.44,+1.52,24.2,24.0,+0.2,+0.01,+1.00,Matches
c84c1afc,Imanol Agirretxe,es ESP,FW,Real Sociedad,30,1987,11,232,21,6.8,2.6,2,68,1,9,11,5,1.45,5,2,+3,+1.16,+1.05,4.7,2.0,+2.7,+1.04,+1.03,Matches
6ee8c05f,Juan Agüero,es ESP,MF,Atlético Madrid,18,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
8617e3d9,Matías Aguirregaray,uy URU,DF,Las Palmas,28,1989,15,1153,77,33.7,12.8,14,81,10,1,17,2,0.53,7,17,-10,-0.78,+0.81,10.9,23.1,-12.2,-0.95,-0.16,Matches
c5eaff5c,Ager Aketxe,es ESP,MF,Athletic Club,23,1993,3,37,12,1.1,0.4,0,,0,3,12,6,1.67,1,0,+1,+2.43,+2.67,1.0,0.7,+0.4,+0.92,+0.95,Matches
7a4cd784,David Alba,es ESP,DF,Getafe,18,1999,1,61,61,1.8,0.7,1,61,0,0,,2,3.00,0,0,0,0.00,-0.24,0.0,1.0,-0.9,-1.39,-1.64,Matches
4601e194,Jordi Alba,es ESP,DF,Barcelona,28,1989,33,2744,83,80.2,30.5,30,89,27,3,24,3,2.48,81,21,+60,+1.97,+0.64,70.9,31.7,+39.2,+1.29,+0.97,Matches
348e4809,Raúl Albentosa,es ESP,DF,La Coruña,28,1988,20,1748,87,51.1,19.4,19,90,18,1,45,8,0.70,19,34,-15,-0.77,+0.47,27.7,27.6,+0.1,+0.01,+0.40,Matches
a7a9d95a,Paco Alcácer,es ESP,"MF,FW",Barcelona,23,1993,17,695,41,20.3,7.7,8,67,1,9,18,11,2.12,19,3,+16,+2.07,+0.29,20.0,8.1,+11.9,+1.54,+0.56,Matches
ba71d071,Pedro Alcalá,es ESP,DF,Girona,28,1989,8,689,86,20.1,7.7,8,86,7,0,,4,1.25,10,13,-3,-0.39,-0.19,11.6,10.1,+1.5,+0.20,+0.24,Matches
