id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
32c2d95f,Yunis Abdelhamid,ma MAR,DF,Reims,35-164,1987,26.0,65,38,38,24,3,33,42,78.6,9,54,19,35,47,112,85,1,Matches
7978cbf0,Himad Abdelli,fr FRA,"MF,FW",Angers,23-114,1999,12.3,35,18,13,18,4,18,33,54.5,15,16,1,15,13,48,8,0,Matches
82464ce3,Salis Abdul Samed,gh GHA,MF,Lens,22-350,2000,24.0,35,20,14,18,3,20,36,55.6,16,29,7,22,24,59,17,0,Matches
31626657,Laurent Abergel,fr FRA,MF,Lorient,30-038,1993,15.2,65,38,41,22,2,24,53,45.3,29,22,4,18,17,82,21,0,Matches
0e46fa2f,Matthis Abline,fr FRA,FW,Auxerre,19-348,2003,5.7,3,1,0,2,1,0,5,0.0,5,5,1,4,1,4,1,0,Matches
0e46fa2f,Matthis Abline,fr FRA,"FW,MF",Rennes,19-348,2003,1.2,1,1,0,0,1,1,1,100.0,0,1,0,1,2,3,1,0,Matches
c2a6033c,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,23-021,2000,20.3,23,16,9,6,8,7,31,22.6,24,13,1,12,16,39,16,0,Matches
1e93fc5d,Mohamed Achi,fr FRA,FW,Nantes,21-054,2002,0.4,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
7587446d,Martin Adeline,fr FRA,"MF,FW",Reims,19-099,2003,1.2,3,3,2,1,0,3,4,75.0,1,3,1,2,3,6,3,0,Matches
75f1ed80,Emmanuel Agbadou,ci CIV,DF,Reims,25-267,1997,18.8,48,30,37,11,0,30,43,69.8,13,22,9,13,23,71,78,2,Matches
8bc8829a,Lucien Agoume,fr FRA,MF,Troyes,21-030,2002,6.2,24,12,12,6,6,10,14,71.4,4,5,1,4,14,38,11,0,Matches
3dd738a1,Ruben Aguilar,fr FRA,DF,Monaco,29-319,1993,7.7,14,6,6,3,5,5,14,35.7,9,5,0,5,13,27,20,0,Matches
22396615,Amar Ahmed,se SWE,FW,Troyes,19-020,2004,0.2,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0,Matches
48b28bfd,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,28-356,1994,10.0,21,15,7,12,2,8,18,44.4,10,13,0,13,19,40,7,0,Matches
462475ed,Ludovic Ajorque,fr FRA,FW,Strasbourg,29-014,1994,8.6,5,4,1,4,0,3,9,33.3,6,3,1,2,2,7,7,0,Matches
b625b241,Maghnes Akliouche,fr FRA,"MF,DF",Monaco,21-014,2002,2.8,6,3,3,3,0,1,3,33.3,2,1,0,1,2,8,2,0,Matches
9e17ccff,Doğan Alemdar,tr TUR,GK,Rennes,20-133,2002,2.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
1956b948,Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,28-012,1995,16.4,31,19,18,9,4,16,42,38.1,26,19,1,18,10,41,10,0,Matches
0a63446f,Mickaël Alphonse,gp GLP,DF,Ajaccio,33-242,1989,11.6,27,18,16,8,3,18,26,69.2,8,13,3,10,26,53,30,1,Matches
9260926b,Ibrahim Amadou,fr FRA,"DF,MF",Angers,29-339,1993,4.7,10,7,6,3,1,7,10,70.0,3,7,3,4,10,20,20,0,Matches
ae11ba3d,Ayoub Amraoui,fr FRA,DF,Nice,18-301,2004,2.0,3,2,2,1,0,2,5,40.0,3,1,0,1,4,7,4,0,Matches
ef9c1c95,Benjamin André,fr FRA,MF,Lille,32-220,1990,24.5,89,52,34,43,12,45,91,49.5,46,39,7,32,30,119,47,0,Matches
af3ddb2e,Komnen Andrić,rs SRB,FW,Clermont Foot,27-253,1995,14.5,12,5,2,6,4,3,15,20.0,12,7,1,6,8,20,11,0,Matches
a5db0bec,Houssem Aouar,fr FRA,MF,Lyon,24-254,1998,4.8,8,3,3,3,2,2,4,50.0,2,10,1,9,6,14,3,0,Matches
b94b8be1,Adil Aouchiche,fr FRA,"MF,FW",Lorient,20-239,2002,1.1,2,0,1,0,1,0,3,0.0,3,2,0,2,1,3,0,0,Matches
feb5d3ab,Dennis Appiah,fr FRA,"DF,MF",Nantes,30-275,1992,8.8,21,11,14,7,0,10,27,37.0,17,13,5,8,10,31,16,0,Matches
c5e6c017,Taïryk Arconte,fr FRA,FW,Brest,19-119,2003,1.4,1,1,0,0,1,0,3,0.0,3,1,0,1,0,1,2,0,Matches
508a9011,Mohamed El Arouch,fr FRA,MF,Lyon,18-339,2004,0.0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
b026bbf6,Lorenz Assignon,tg TOG,DF,Rennes,22-262,2000,2.2,6,2,4,2,0,2,4,50.0,2,4,0,4,2,8,3,0,Matches
6a827d8e,Youcef Atal,dz ALG,"DF,MF",Nice,26-298,1996,7.1,34,19,16,14,4,21,27,77.8,6,6,0,6,11,45,11,0,Matches
6b5edd5d,Valentin Atangana Edoa,fr FRA,MF,Reims,17-198,2005,0.0,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
7dfbba27,Mathias Autret,fr FRA,"MF,FW",Auxerre,32-010,1991,14.0,22,10,10,10,2,7,16,43.8,9,13,2,11,12,34,12,0,Matches
a94d93be,Cédric Avinel,gp GLP,DF,Ajaccio,36-181,1986,15.2,10,4,6,4,0,5,7,71.4,2,15,10,5,12,22,65,1,Matches
114bbdee,Loïc Bade,fr FRA,DF,Rennes,22-334,2000,1.0,1,1,1,0,0,0,0,,0,0,0,0,1,2,3,0,Matches
06df8256,Benoît Badiashile,fr FRA,DF,Monaco,21-350,2001,9.3,10,8,6,4,0,5,10,50.0,5,9,6,3,17,27,40,1,Matches
a1232f4e,Eric Bailly,ci CIV,DF,Marseille,28-333,1994,4.7,10,8,4,5,1,6,6,100.0,0,10,7,3,11,21,12,0,Matches
5065d67d,Dénys Bain,fr FRA,DF,Auxerre,29-252,1993,1.4,4,3,3,1,0,1,2,50.0,1,2,1,1,2,6,4,0,Matches
7e3e825e,Brandon Baiye,be BEL,MF,Clermont Foot,22-074,2000,0.6,3,2,2,1,0,2,3,66.7,1,1,0,1,1,4,3,0,Matches
0af4dcf0,Cédric Bakambu,cd COD,MF,Marseille,31-334,1991,0.7,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,0,0,Matches
3975195f,Thierno Balde,fr FRA,DF,Troyes,20-274,2002,16.9,25,12,17,4,4,17,27,63.0,10,13,3,10,17,42,29,0,Matches
a1390d2f,Carlos Baleba,cm CMR,MF,Lille,19-067,2004,3.1,11,10,1,8,2,8,11,72.7,3,11,2,9,1,12,2,2,Matches
7c3ed041,Leonardo Balerdi,ar ARG,DF,Marseille,24-044,1999,22.6,40,26,28,10,2,22,33,66.7,11,39,24,15,47,87,70,0,Matches
31822f8c,Folarin Balogun,eng ENG,FW,Reims,21-251,2001,21.6,6,3,0,4,2,1,11,9.1,10,16,1,15,1,7,11,0,Matches
7fecbcdb,Abdoulaye Bamba,ci CIV,DF,Angers,32-320,1990,6.2,15,7,9,5,1,10,10,100.0,0,4,1,3,8,23,11,0,Matches
b2bd0f6c,Jonathan Bamba,fr FRA,FW,Lille,26-350,1996,21.0,23,10,9,8,6,11,29,37.9,18,24,1,23,17,40,7,0,Matches
