id,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
a7e4760c,Ismael Aaneba,fr FRA,DF,Strasbourg,21,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
32c2d95f,Yunis Abdelhamid,ma MAR,DF,Reims,32,1987,32.1,17,0.53,15,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
a4c3f7af,Mehdi Abeid,dz ALG,MF,Nantes,27,1992,14.7,31,2.11,18,5,3,1,2,2,1,0.07,1,0,0,0,0,0,Matches
31626657,Laurent Abergel,fr FRA,MF,Lorient,27,1993,32.9,59,1.79,45,0,3,6,4,1,9,0.27,6,0,1,1,1,0,Matches
469d3d84,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,20,2000,10.1,14,1.38,11,0,2,0,1,0,3,0.30,2,0,1,0,0,0,Matches
0e46fa2f,Matthis Abline,fr FRA,FW,Rennes,17,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8bc373ea,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,24,1995,14.0,9,0.64,5,1,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
26777636,Yacine Adli,fr FRA,MF,Bordeaux,20,2000,26.9,104,3.87,78,10,8,2,3,3,10,0.37,7,1,0,1,1,0,Matches
288e1e13,Nayef Aguerd,ma MAR,DF,Rennes,24,1996,35.0,20,0.57,17,0,0,3,0,0,1,0.03,1,0,0,0,0,0,Matches
3dd738a1,Ruben Aguilar,fr FRA,"DF,MF",Monaco,27,1993,24.7,78,3.15,56,10,2,1,7,2,7,0.28,4,1,1,0,1,0,Matches
5ea9ebd4,Matteo Ahlinvi,bj BEN,MF,Nîmes,21,1999,10.0,12,1.20,9,0,0,0,2,1,0,0.00,0,0,0,0,0,0,Matches
48b28bfd,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,26,1994,23.8,33,1.38,25,0,1,2,3,2,4,0.17,2,0,0,1,0,1,Matches
48b28bfd,Jean-Eudes Aholou,ci CIV,MF,Monaco,26,1994,0.4,1,2.50,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
