id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
8fa8f8d2,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,24,1995,11,9,900,10.0,17,1.70,47,31,63.8,1,2,6,0,0.0,0,0,0,0,,Matches
2f965a72,Alphonse Areola,fr FRA,GK,Paris S-G,26,1993,3,3,270,3.0,2,0.67,3,1,33.3,2,0,1,2,66.7,0,0,0,0,,Matches
be13e5a8,Stefan Bajic,fr FRA,GK,Saint-Étienne,17,2001,1,1,90,1.0,1,1.00,2,1,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
8a2248b4,Walter Benítez,ar ARG,GK,Nice,26,1993,26,26,2340,26.0,36,1.38,130,95,75.4,9,8,9,4,15.4,6,4,1,1,20.0,Matches
28dabd43,Paul Bernardoni,fr FRA,GK,Nîmes,22,1997,25,25,2204,24.5,38,1.55,108,71,68.5,7,4,14,6,24.0,4,4,0,0,0.0,Matches
380a15e2,Dimitry Bertaud,fr FRA,GK,Montpellier,21,1998,3,3,196,2.2,3,1.38,5,2,40.0,0,0,3,0,0.0,0,0,0,0,,Matches
26975a92,Ludovic Butelle,fr FRA,GK,Angers,36,1983,26,26,2340,26.0,32,1.23,83,51,65.1,10,6,10,11,42.3,3,3,0,0,0.0,Matches
db87a2c4,Marcin Bułka,pl POL,GK,Paris S-G,19,1999,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
8608f269,Matis Carvalho,pt POR,GK,Montpellier,20,1999,1,0,71,0.8,4,5.07,8,5,50.0,0,0,0,0,,0,0,0,0,,Matches
7800bdb8,Yannis Clementia,mq MTQ,GK,Nice,22,1997,2,2,180,2.0,2,1.00,7,5,85.7,2,0,0,0,0.0,1,1,0,0,0.0,Matches
2434f24a,Benoît Costil,fr FRA,GK,Bordeaux,32,1987,28,28,2520,28.0,34,1.21,108,74,70.4,9,10,9,6,21.4,3,2,1,0,33.3,Matches
