id,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
9260926b,Ibrahim Amadou,fr FRA,"MF,DF",Lille,24,1993,26.7,2,1,0,0,0,1.5,0.20,-0.5,-0.02,0,0,,0,0,,,0,,,1,0,0.0,0,0.00,,Matches
2f965a72,Alphonse Areola,fr FRA,GK,Paris S-G,24,1993,34.0,25,1,2,5,1,26.2,0.24,+2.2,+0.07,52,102,51.0,659,167,9.7,22.8,240,15.8,29.3,404,22,5.4,50,1.47,16.1,Matches
b7e7937d,Diego Benaglio,ch SUI,GK,Monaco,33,1983,2.5,0,0,0,0,0,1.9,0.31,+1.9,+0.75,12,28,42.9,42,12,40.5,32.3,23,47.8,41.7,37,1,2.7,1,0.40,16.2,Matches
8a2248b4,Walter Benítez,ar ARG,GK,Nice,24,1993,28.0,36,3,1,0,2,37.1,0.29,+3.1,+0.11,102,262,38.9,542,161,24.9,29.2,232,54.7,43.9,445,13,2.9,4,0.14,11.1,Matches
15285503,Quentin Beunardeau,fr FRA,GK,Metz,23,1994,0.4,2,0,0,0,0,1.6,0.40,-0.4,-0.90,8,17,47.1,16,2,87.5,45.0,4,75.0,59.0,8,0,0.0,1,2.31,21.0,Matches
e65dd8dc,Landry Bonnefoi,fr FRA,GK,Strasbourg,33,1983,3.0,6,0,0,1,0,4.8,0.28,-1.2,-0.39,17,42,40.5,45,12,51.1,38.9,28,67.9,46.5,53,1,1.9,0,0.00,8.8,Matches
96908f80,Jean-Christophe Bouet,fr FRA,GK,Amiens,34,1983,1.0,1,0,0,0,0,1.3,0.19,+0.3,+0.30,7,21,33.3,17,4,52.9,40.4,13,92.3,55.4,19,0,0.0,0,0.00,5.0,Matches
26975a92,Ludovic Butelle,fr FRA,GK,Angers,34,1983,18.4,22,3,1,1,2,19.6,0.25,-0.4,-0.02,89,314,28.3,390,84,48.2,38.6,145,86.9,54.7,255,22,8.6,25,1.36,16.2,Matches
950ff24d,Yoan Cardinale,fr FRA,GK,Nice,23,1994,10.0,16,0,1,1,1,13.2,0.33,-1.8,-0.18,39,79,49.4,192,36,16.7,26.3,91,51.6,43.4,117,5,4.3,5,0.50,12.0,Matches
2434f24a,Benoît Costil,fr FRA,GK,Bordeaux,30,1987,36.0,45,4,4,5,1,38.7,0.25,-5.3,-0.15,236,629,37.5,875,150,45.3,38.9,295,79.0,54.9,475,30,6.3,34,0.94,14.5,Matches
26383ea5,Abdoulaye Diallo,sn SEN,GK,Rennes,25,1992,3.0,5,1,1,0,0,5.8,0.33,+0.8,+0.28,18,38,47.4,58,13,36.2,31.1,20,85.0,55.7,29,3,10.3,4,1.33,14.5,Matches
a3d524cb,Thomas Didillon,fr FRA,GK,Metz,21,1995,9.0,14,3,0,0,1,13.6,0.31,+0.6,+0.07,73,165,44.2,194,46,49.0,40.4,79,88.6,56.6,145,12,8.3,10,1.11,14.0,Matches
0e12089d,Maxime Dupé,fr FRA,GK,Nantes,24,1993,1.0,3,1,0,0,0,2.1,0.22,-0.9,-0.91,7,17,41.2,14,4,64.3,44.7,8,100.0,63.9,20,3,15.0,3,3.00,13.7,Matches
4d3e9033,Mathieu Gorgelin,fr FRA,GK,Lyon,26,1990,4.0,6,0,1,0,0,4.9,0.38,-1.1,-0.28,9,30,30.0,70,12,31.4,34.4,24,33.3,38.6,63,3,4.8,0,0.00,11.6,Matches
bc270726,Régis Gurtner,fr FRA,GK,Amiens,30,1986,37.0,41,4,0,3,0,48.9,0.27,+7.9,+0.21,329,909,36.2,894,98,63.3,43.9,361,95.0,58.9,634,31,4.9,25,0.68,12.6,Matches
a56bd2ee,Karl-Johan Johnsson,se SWE,GK,Guingamp,27,1990,38.0,59,5,0,5,1,50.5,0.26,-7.5,-0.20,295,705,41.8,867,163,52.4,41.2,308,81.5,58.6,547,27,4.9,21,0.55,12.9,Matches
3814120d,Bingourou Kamara,sn SEN,GK,Strasbourg,20,1996,18.8,32,2,0,6,0,26.7,0.29,-5.3,-0.28,132,338,39.1,450,76,44.7,38.3,168,81.5,54.8,283,19,6.7,12,0.64,12.6,Matches
a4527d33,Eiji Kawashima,jp JPN,GK,Metz,34,1983,28.5,60,0,1,9,1,56.7,0.34,-2.3,-0.08,218,582,37.5,655,141,55.9,42.5,237,91.1,60.5,406,7,1.7,33,1.16,15.5,Matches
faf873a7,Hervé Koffi,bf BFA,GK,Lille,20,1996,4.0,11,1,0,2,1,8.1,0.35,-1.9,-0.48,18,50,36.0,88,16,37.5,36.4,35,48.6,45.6,59,7,11.9,11,2.75,16.3,Matches
dc366c36,Tomáš Koubek,cz CZE,GK,Rennes,24,1992,34.0,36,2,0,5,2,40.1,0.29,+6.1,+0.18,205,578,35.5,704,103,52.7,40.6,269,77.0,54.2,510,25,4.9,49,1.44,15.5,Matches
4e7db402,Alban Lafont,fr FRA,GK,Toulouse,18,1999,38.0,54,6,3,6,2,52.2,0.30,+0.2,+0.01,315,740,42.6,931,166,51.9,39.6,331,77.6,54.6,565,23,4.1,79,2.08,17.7,Matches
2fa2a875,Benjamin Lecomte,fr FRA,GK,Montpellier,26,1991,38.0,33,5,1,4,0,37.9,0.29,+4.9,+0.13,249,556,44.8,880,219,44.2,37.6,268,62.3,45.8,494,51,10.3,24,0.63,12.8,Matches
96fcd380,Alexandre Letellier,fr FRA,GK,Angers,26,1990,13.0,17,2,0,2,1,14.3,0.29,-1.7,-0.13,90,202,44.6,232,60,48.7,39.3,102,87.3,59.9,187,4,2.1,5,0.38,12.1,Matches
f00de885,Anthony Lopes,pt POR,GK,Lyon,26,1990,34.0,37,5,1,3,3,37.6,0.23,+3.6,+0.10,119,324,36.7,810,169,28.0,31.6,239,40.6,39.0,513,21,4.1,30,0.88,13.9,Matches
c121a641,Raïs M'Bolhi,dz ALG,GK,Rennes,31,1986,1.0,3,2,0,1,0,2.3,0.05,-0.7,-0.72,3,14,21.4,20,2,55.0,44.0,4,75.0,57.0,9,0,0.0,0,0.00,12.0,Matches
fcb38f57,Mike Maignan,fr FRA,GK,Lille,22,1995,33.7,53,3,1,2,2,46.6,0.27,-4.4,-0.13,140,348,40.2,868,196,23.2,29.5,286,51.4,44.8,439,32,7.3,51,1.51,16.1,Matches
