id,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
a7e4760c,Ismael Aaneba,fr FRA,DF,Strasbourg,19,1999,2.3,120,92,28,3,0,2,11,25,0,0,0,0,73,0,8,Matches
32c2d95f,Yunis Abdelhamid,ma MAR,DF,Reims,30,1987,38.0,1614,1543,63,62,0,31,0,1,0,0,0,0,1330,8,19,Matches
a4c3f7af,Mehdi Abeid,dz ALG,MF,Dijon,25,1992,22.5,1068,1028,35,17,4,12,24,5,10,1,6,0,903,5,13,Matches
469d3d84,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,18,2000,0.4,17,17,0,0,0,0,0,0,0,0,0,0,6,0,3,Matches
16714a62,Khaled Adénon,bj BEN,DF,Amiens,33,1985,22.2,973,938,32,31,0,5,0,1,0,0,0,0,837,3,5,Matches
26777636,Yacine Adli,fr FRA,MF,Bordeaux,18,2000,2.4,151,145,5,1,1,2,9,2,2,2,0,0,111,1,3,Matches
288e1e13,Nayef Aguerd,ma MAR,DF,Dijon,22,1996,11.7,604,561,40,18,0,8,3,22,0,0,0,0,465,3,8,Matches
3dd738a1,Ruben Aguilar,fr FRA,DF,Montpellier,25,1993,28.1,1640,1334,297,15,0,7,115,281,1,0,0,0,1315,9,51,Matches
48b28bfd,Jean-Eudes Aholou,ci CIV,MF,Monaco,24,1994,11.9,549,537,12,9,4,8,5,2,0,0,0,0,463,0,8,Matches
c46fa34c,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,22,1996,10.4,656,643,11,5,3,7,4,6,0,0,0,0,572,2,11,Matches
c46fa34c,Youssef Aït Bennasser,ma MAR,MF,Monaco,22,1996,11.9,737,712,23,21,3,11,2,2,0,0,0,0,633,2,8,Matches
9b398aea,Rayan Aït Nouri,fr FRA,"DF,MF",Angers,17,2001,0.6,35,33,2,0,0,0,0,2,0,0,0,0,30,0,0,Matches
462475ed,Ludovic Ajorque,fr FRA,FW,Strasbourg,24,1994,17.0,459,431,26,1,1,5,5,0,0,0,0,0,339,2,11,Matches
5314e067,Sofiane Alakouch,ma MAR,DF,Nîmes,20,1998,21.1,1096,838,254,5,2,2,40,249,0,0,0,0,832,4,32,Matches
0f4c0bad,Alexis Alegue,fr FRA,FW,Nantes,21,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
8fa8f8d2,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,23,1995,25.0,871,573,295,82,0,0,0,0,0,0,0,0,623,3,5,Matches
bdedd861,Rachid Alioui,ma MAR,FW,Nîmes,26,1992,13.9,383,363,18,0,1,3,19,5,0,0,0,0,266,2,5,Matches
