id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
32c2d95f,Yunis Abdelhamid,ma MAR,DF,Reims,35-164,1987,26,2340,90,100.0,26.0,26,90,26,0,,0,1.54,34,26,+8,+0.31,,41.3,33.1,+8.3,+0.32,,Matches
7978cbf0,Himad Abdelli,fr FRA,"MF,FW",Angers,23-114,1999,18,1106,61,47.3,12.3,12,81,7,6,23,6,0.11,10,26,-16,-1.30,+0.23,13.9,21.4,-7.5,-0.61,-0.23,Matches
82464ce3,Salis Abdul Samed,gh GHA,MF,Lens,22-350,2000,24,2156,90,92.1,24.0,24,90,22,0,,0,2.08,38,18,+20,+0.83,+1.32,43.0,26.0,+17.0,+0.71,+0.57,Matches
31626657,Laurent Abergel,fr FRA,MF,Lorient,30-038,1993,18,1371,76,58.6,15.2,17,79,10,1,26,0,2.00,24,21,+3,+0.20,+0.29,19.9,25.0,-5.0,-0.33,+0.12,Matches
0e46fa2f,Matthis Abline,fr FRA,FW,Auxerre,19-348,2003,9,514,57,22.0,5.7,6,75,1,3,21,0,1.00,7,8,-1,-0.18,+1.06,7.9,6.3,+1.6,+0.29,+0.84,Matches
0e46fa2f,Matthis Abline,fr FRA,"FW,MF",Rennes,19-348,2003,11,107,10,4.6,1.2,0,,0,11,10,4,2.27,5,0,+5,+4.21,+3.76,2.9,1.3,+1.6,+1.36,+1.09,Matches
c2a6033c,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,23-021,2000,26,1831,70,78.2,20.3,21,81,10,5,25,0,1.23,29,38,-9,-0.44,-1.15,27.1,31.4,-4.3,-0.21,-0.28,Matches
1e93fc5d,Mohamed Achi,fr FRA,FW,Nantes,21-054,2002,2,36,18,1.5,0.4,0,,0,2,18,6,0.50,1,0,+1,+2.50,+2.81,0.8,0.0,+0.7,+1.87,+2.08,Matches
7587446d,Martin Adeline,fr FRA,"MF,FW",Reims,19-099,2003,5,107,21,4.6,1.2,0,,0,5,21,10,1.40,3,5,-2,-1.68,-2.09,2.1,2.7,-0.7,-0.57,-0.93,Matches
f1a29ddc,Loïc Affamah,fr FRA,FW,Nantes,20-255,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
75f1ed80,Emmanuel Agbadou,ci CIV,DF,Reims,25-267,1997,20,1689,84,72.2,18.8,19,88,17,1,24,0,1.40,26,20,+6,+0.32,+0.04,30.6,25.4,+5.3,+0.28,-0.13,Matches
8bc8829a,Lucien Agoume,fr FRA,MF,Troyes,21-030,2002,8,556,70,23.8,6.2,7,78,5,1,9,3,0.50,5,16,-11,-1.78,-1.28,5.8,11.3,-5.5,-0.89,-0.09,Matches
3dd738a1,Ruben Aguilar,fr FRA,DF,Monaco,29-319,1993,14,690,49,29.5,7.7,8,72,4,6,19,1,2.36,12,10,+2,+0.26,-0.67,12.9,10.0,+2.8,+0.37,-0.04,Matches
22396615,Amar Ahmed,se SWE,FW,Troyes,19-020,2004,1,20,20,0.9,0.2,0,,0,1,20,2,1.00,0,0,0,0.00,+0.81,0.1,0.6,-0.6,-2.50,-1.70,Matches
48b28bfd,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,28-356,1994,20,902,45,38.5,10.0,11,67,0,9,18,3,0.75,9,13,-4,-0.40,+0.23,12.5,14.5,-2.0,-0.20,+0.66,Matches
462475ed,Ludovic Ajorque,fr FRA,FW,Strasbourg,29-014,1994,13,771,59,32.9,8.6,9,77,4,4,20,1,0.62,12,18,-6,-0.70,-0.24,10.8,13.6,-2.8,-0.33,+0.42,Matches
587823f4,Salim Akkal,fr FRA,MF,Angers,23-022,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
b625b241,Maghnes Akliouche,fr FRA,"MF,DF",Monaco,21-014,2002,6,248,41,10.6,2.8,3,61,0,3,22,11,2.67,4,0,+4,+1.45,+0.81,5.0,2.7,+2.3,+0.83,+0.49,Matches
9e17ccff,Doğan Alemdar,tr TUR,GK,Rennes,20-133,2002,3,225,75,9.6,2.5,2,90,2,1,45,23,1.33,4,4,0,0.00,-0.68,3.1,3.4,-0.3,-0.13,-0.49,Matches
1956b948,Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,28-012,1995,24,1478,62,63.2,16.4,16,82,7,8,21,0,1.29,12,21,-9,-0.55,-0.65,16.7,26.3,-9.7,-0.59,-0.17,Matches
d609ec7d,Téo Allix,fr FRA,DF,Montpellier,18-249,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
0a63446f,Mickaël Alphonse,gp GLP,DF,Ajaccio,33-242,1989,20,1041,52,44.5,11.6,11,85,8,9,12,6,0.90,6,18,-12,-1.04,0.00,10.4,14.9,-4.5,-0.39,-0.41,Matches
9260926b,Ibrahim Amadou,fr FRA,"DF,MF",Angers,29-339,1993,7,424,61,18.1,4.7,4,90,4,3,21,4,0.14,5,9,-4,-0.85,+0.70,5.7,9.8,-4.1,-0.86,-0.46,Matches
ae11ba3d,Ayoub Amraoui,fr FRA,DF,Nice,18-301,2004,2,180,90,7.7,2.0,2,90,2,0,,0,2.00,4,1,+3,+1.50,+1.13,4.0,1.4,+2.6,+1.28,+1.06,Matches
ef9c1c95,Benjamin André,fr FRA,MF,Lille,32-220,1990,25,2206,88,90.8,24.5,25,88,22,0,,0,1.72,45,29,+16,+0.65,+1.86,43.3,26.0,+17.3,+0.74,+0.36,Matches
