id,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
32c2d95f,Yunis Abdelhamid,ma MAR,DF,Reims,31,1987,28.0,1854,194,1052,768,51,29,1854,26,20,76.9,6,23.1,1031,5773,3542,21,12,0,15,5,1216,6,Matches
a4c3f7af,Mehdi Abeid,dz ALG,MF,Nantes,26,1992,20.2,1159,14,163,766,249,17,1159,23,16,69.6,7,30.4,650,3350,1494,25,24,3,24,21,754,42,Matches
469d3d84,Charles Abi,fr FRA,FW,Saint-Étienne,19,2000,6.9,195,7,14,100,86,20,195,19,13,68.4,6,31.6,108,680,346,12,4,5,26,7,144,33,Matches
dcfb17f4,Amine Adli,fr FRA,"MF,FW",Toulouse,19,2000,0.5,31,0,3,16,13,1,31,4,3,75.0,1,25.0,23,190,104,4,1,0,1,1,22,5,Matches
26777636,Yacine Adli,fr FRA,MF,Bordeaux,19,2000,11.3,704,10,70,457,186,11,704,48,26,54.2,22,45.8,485,2646,1418,38,31,3,27,24,537,47,Matches
288e1e13,Nayef Aguerd,ma MAR,DF,Dijon,23,1996,10.6,717,75,426,284,11,8,717,4,3,75.0,1,25.0,352,1490,859,0,0,0,4,3,467,0,Matches
3dd738a1,Ruben Aguilar,fr FRA,DF,Monaco,26,1993,11.9,913,32,209,441,268,21,913,22,12,54.5,10,45.5,534,2573,1482,32,19,4,9,11,581,80,Matches
48b28bfd,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,25,1994,7.0,404,14,78,257,71,13,404,16,12,75.0,4,25.0,225,1210,572,14,9,1,19,7,267,15,Matches
c46fa34c,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,23,1996,6.0,465,11,71,354,43,0,465,7,4,57.1,3,42.9,305,1096,567,6,4,0,7,4,338,6,Matches
9b398aea,Rayan Aït Nouri,fr FRA,DF,Angers,18,2001,14.2,972,34,302,440,238,13,972,35,19,54.3,16,45.7,445,2684,1611,45,36,10,27,24,550,69,Matches
462475ed,Ludovic Ajorque,fr FRA,FW,Strasbourg,25,1994,22.9,712,21,40,386,291,95,711,19,7,36.8,12,63.2,376,1503,584,21,15,8,53,15,553,137,Matches
414e1f69,Marley Aké,fr FRA,"FW,MF",Marseille,18,2001,1.1,40,1,7,16,17,2,40,5,4,80.0,1,20.0,25,188,72,1,1,0,1,0,24,6,Matches
debc2f28,Chadrac Akolo,cd COD,"FW,MF",Amiens,24,1995,6.0,280,4,52,141,92,14,280,12,5,41.7,7,58.3,168,688,340,11,14,5,14,15,198,53,Matches
5314e067,Sofiane Alakouch,ma MAR,DF,Nîmes,21,1998,15.6,984,39,284,473,242,17,984,33,17,51.5,16,48.5,454,2492,1477,32,22,8,21,7,488,39,Matches
4085f08e,Haitam Aleesami,no NOR,DF,Amiens,28,1991,21.3,1421,72,412,759,262,15,1421,19,13,68.4,6,31.6,573,2813,1426,21,17,4,23,22,756,72,Matches
8fa8f8d2,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,24,1995,10.0,350,304,349,1,0,0,350,0,0,,0,,157,734,504,0,0,0,0,0,147,0,Matches
bdedd861,Rachid Alioui,ma MAR,FW,Angers,27,1992,17.4,631,9,29,300,306,67,631,22,16,72.7,6,27.3,353,1638,704,24,18,12,40,17,496,108,Matches
0a63446f,Mickaël Alphonse,gp GLP,DF,Dijon,30,1989,15.3,935,58,330,437,173,11,935,22,15,68.2,7,31.8,400,2485,1458,37,26,3,19,10,472,45,Matches
d7bf3d19,Romain Amalfitano,fr FRA,MF,Dijon,29,1989,18.8,1098,35,241,728,146,7,1098,33,26,78.8,7,21.2,626,3565,1691,24,27,3,31,19,727,28,Matches
22721b88,Jordan Amavi,fr FRA,DF,Marseille,25,1994,24.0,1591,78,510,746,352,28,1591,52,30,57.7,22,42.3,788,4457,2377,62,54,9,32,19,835,92,Matches
2945f4b7,Thierry Ambrose,gp GLP,FW,Metz,22,1997,6.1,302,5,24,124,159,30,302,44,25,56.8,19,43.2,185,1476,713,31,24,7,24,23,219,49,Matches
bcc81786,Kelvin Amian,fr FRA,DF,Toulouse,21,1998,18.1,844,75,287,392,173,11,844,24,11,45.8,13,54.2,416,2730,1615,38,28,5,18,10,427,27,Matches
e34fc66d,Joachim Andersen,dk DEN,DF,Lyon,23,1996,17.0,1480,166,729,721,32,13,1480,3,3,100.0,0,0.0,905,4909,3029,6,5,0,3,2,1105,1,Matches
ef9c1c95,Benjamin André,fr FRA,MF,Lille,28,1990,22.8,1513,47,240,1041,248,21,1513,25,16,64.0,9,36.0,723,3471,1615,25,25,3,17,20,922,47,Matches
d8992b84,Victorien Angban,ci CIV,MF,Metz,22,1996,11.4,708,9,100,525,93,3,708,21,15,71.4,6,28.6,432,2657,1381,25,21,2,18,17,504,17,Matches
38d9ce53,Janis Antiste,fr FRA,MF,Toulouse,16,2002,0.1,3,0,0,1,2,2,3,0,0,,0,,4,10,2,1,0,1,1,1,4,1,Matches
a5db0bec,Houssem Aouar,fr FRA,"MF,FW",Lyon,21,1998,21.7,1361,10,111,835,446,72,1361,112,67,59.8,45,40.2,924,5915,3217,105,78,28,52,38,1077,127,Matches
b94b8be1,Adil Aouchiche,fr FRA,MF,Paris S-G,17,2002,0.7,40,0,5,26,10,0,40,3,3,100.0,0,0.0,20,71,18,0,0,0,3,0,27,3,Matches
feb5d3ab,Dennis Appiah,fr FRA,DF,Nantes,27,1992,17.8,1154,52,399,568,194,5,1154,29,22,75.9,7,24.1,513,2662,1430,23,27,3,21,18,596,32,Matches
fa18c72e,Luiz Araújo,br BRA,"FW,MF",Lille,23,1996,9.2,438,3,50,173,222,29,438,30,22,73.3,8,26.7,253,1848,916,30,22,8,17,15,286,60,Matches
2f965a72,Alphonse Areola,fr FRA,GK,Paris S-G,26,1993,3.0,61,44,60,1,0,0,61,0,0,,0,,35,187,120,0,0,0,0,0,28,0,Matches
6a827d8e,Youcef Atal,dz ALG,"FW,DF",Nice,23,1996,11.1,741,13,138,341,280,38,741,106,47,44.3,59,55.7,440,3580,1900,54,43,27,35,18,496,119,Matches
