id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
32c2d95f,Yunis Abdelhamid,ma MAR,DF,Reims,35-164,1987,26,26,2340,26.0,1,1,2,1,0,0,3,0,1.8,1.8,0.3,2.1,19,125,5,0.04,0.04,0.08,0.04,0.08,0.07,0.01,0.08,0.07,0.08,Matches
7978cbf0,Himad Abdelli,fr FRA,"MF,FW",Angers,23-114,1999,18,12,1106,12.3,0,0,0,0,0,0,1,0,0.9,0.9,1.3,2.2,28,71,68,0.00,0.00,0.00,0.00,0.00,0.07,0.11,0.18,0.07,0.18,Matches
82464ce3,Salis Abdul Samed,gh GHA,MF,Lens,22-350,2000,24,24,2156,24.0,1,0,1,1,0,0,4,0,0.8,0.8,1.0,1.9,29,137,35,0.04,0.00,0.04,0.04,0.04,0.03,0.04,0.08,0.03,0.08,Matches
31626657,Laurent Abergel,fr FRA,MF,Lorient,30-038,1993,18,17,1371,15.2,0,1,1,0,0,0,3,0,0.3,0.3,1.0,1.3,9,83,11,0.00,0.07,0.07,0.00,0.07,0.02,0.06,0.08,0.02,0.08,Matches
0e46fa2f,Matthis Abline,fr FRA,FW,Auxerre,19-348,2003,9,6,514,5.7,2,1,3,1,1,2,0,0,2.7,1.1,0.5,1.6,9,8,27,0.35,0.18,0.53,0.18,0.35,0.46,0.08,0.55,0.19,0.27,Matches
0e46fa2f,Matthis Abline,fr FRA,"FW,MF",Rennes,19-348,2003,11,0,107,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,4,2,11,0.84,0.00,0.84,0.84,0.84,0.65,0.22,0.87,0.65,0.87,Matches
c2a6033c,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,23-021,2000,26,21,1831,20.3,6,5,11,6,0,0,3,0,7.0,7.0,2.4,9.3,67,45,192,0.29,0.25,0.54,0.29,0.54,0.34,0.12,0.46,0.34,0.46,Matches
1e93fc5d,Mohamed Achi,fr FRA,FW,Nantes,21-054,2002,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,2,3,1,0.00,0.00,0.00,0.00,0.00,0.30,0.08,0.39,0.30,0.39,Matches
7587446d,Martin Adeline,fr FRA,"MF,FW",Reims,19-099,2003,5,0,107,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
75f1ed80,Emmanuel Agbadou,ci CIV,DF,Reims,25-267,1997,20,19,1689,18.8,0,2,2,0,0,0,2,2,1.4,1.4,1.3,2.6,11,60,5,0.00,0.11,0.11,0.00,0.11,0.07,0.07,0.14,0.07,0.14,Matches
