id,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
5f09991f,Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,19.7,30,1.52,27,2,1,0,0,0,3,0.15,2,1,0,0,0,0,Matches
f586779e,Tammy Abraham,eng ENG,FW,Chelsea,22,1997,11.6,17,1.47,9,0,2,4,2,0,2,0.17,1,0,0,0,1,0,Matches
f2bf1b0f,Che Adams,sct SCO,FW,Southampton,24,1996,29.6,68,2.29,50,0,2,7,9,0,7,0.24,6,0,0,0,1,0,Matches
c81d773d,Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,32.8,18,0.55,18,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
f76e6b4e,Adrián,es ESP,GK,Liverpool,33,1987,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4d034881,Sergio Agüero,ar ARG,FW,Manchester City,32,1988,6.2,18,2.90,13,0,3,1,0,1,3,0.48,2,0,1,0,0,0,Matches
246d153b,Ola Aina,ng NGA,DF,Fulham,23,1996,29.6,27,0.91,23,3,0,0,1,0,4,0.14,4,0,0,0,0,0,Matches
9b398aea,Rayan Aït Nouri,fr FRA,DF,Wolves,19,2001,15.6,32,2.05,21,4,6,0,1,0,1,0.06,1,0,0,0,0,0,Matches
d6192210,Semi Ajayi,ng NGA,DF,West Brom,26,1993,30.9,14,0.45,13,0,1,0,0,0,2,0.06,2,0,0,0,0,0,Matches
eaeca114,Nathan Aké,nl NED,DF,Manchester City,25,1995,8.9,5,0.56,4,0,0,0,1,0,1,0.11,1,0,0,0,0,0,Matches
b827d5b3,Marc Albrighton,eng ENG,"DF,FW",Leicester City,30,1989,19.4,77,3.97,59,5,5,2,3,3,12,0.62,8,2,0,1,0,1,Matches
77e84962,Thiago Alcántara,es ESP,MF,Liverpool,29,1991,20.6,81,3.93,69,2,2,3,3,2,3,0.15,2,0,0,1,0,0,Matches
f7d50789,Toby Alderweireld,be BEL,DF,Tottenham,31,1989,24.9,22,0.88,19,0,0,3,0,0,3,0.12,3,0,0,0,0,0,Matches
8fa8f8d2,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,33.7,131,3.89,84,34,6,7,0,0,13,0.39,8,2,1,2,0,0,Matches
1a7fcf39,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,28,1992,27.3,71,2.60,57,5,0,5,3,1,5,0.18,3,1,0,1,0,0,Matches
7a2e46a8,Alisson,br BRA,GK,Liverpool,27,1992,33.0,5,0.15,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
cc700722,Allan,br BRA,MF,Everton,29,1991,22.8,39,1.71,33,1,4,1,0,0,2,0.09,2,0,0,0,0,0,Matches
cea4ee8f,Dele Alli,eng ENG,MF,Tottenham,24,1996,6.9,22,3.19,19,0,0,1,1,1,0,0.00,0,0,0,0,0,0,Matches
862a1c15,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,26,1994,27.0,76,2.82,54,3,8,4,5,2,6,0.22,4,0,0,1,0,1,Matches
f4290206,Marcos Alonso,es ESP,DF,Chelsea,29,1990,10.7,36,3.38,29,2,0,5,0,0,3,0.28,2,0,0,1,0,0,Matches
ad1f61f3,Steven Alzate,co COL,MF,Brighton,21,1998,10.0,24,2.41,20,0,1,3,0,0,1,0.10,1,0,0,0,0,0,Matches
1a4ef233,Daniel Amartey,gh GHA,DF,Leicester City,25,1994,8.0,5,0.62,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
