id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
7a2e46a8,Alisson,br BRA,GK,Liverpool,30-160,1992,25,25,2250,25.0,28,1.12,103,76,74.8,12,6,7,10,40.0,3,2,1,0,33.3,Matches
2f965a72,Alphonse Areola,fr FRA,GK,West Ham,30-012,1993,4,1,219,2.4,6,2.47,12,6,66.7,0,0,1,1,100.0,2,2,0,0,0.0,Matches
28d596a0,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-159,1994,17,17,1485,16.5,13,0.79,63,52,79.4,6,6,5,8,47.1,0,0,0,0,,Matches
c91441dc,Gavin Bazunu,ie IRL,GK,Southampton,21-019,2002,25,25,2250,25.0,41,1.64,92,54,55.4,6,3,16,3,12.0,1,0,1,0,100.0,Matches
7b4de647,Asmir Begović,ba BIH,GK,Everton,35-264,1987,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
3a949a25,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34-055,1989,1,0,67,0.7,0,0.00,5,5,100.0,0,0,0,0,,0,0,0,0,,Matches
3bb7b8b4,Ederson,br BRA,GK,Manchester City,29-206,1993,26,26,2340,26.0,25,0.96,60,36,63.3,18,4,4,9,34.6,3,3,0,0,0.0,Matches
9328b835,Łukasz Fabiański,pl POL,GK,West Ham,37-327,1985,24,24,2031,22.6,27,1.20,94,67,72.3,6,5,13,4,16.7,2,1,1,0,50.0,Matches
c3e39f12,Fraser Forster,eng ENG,GK,Tottenham,34-359,1988,5,5,450,5.0,7,1.40,18,11,61.1,2,1,2,2,40.0,0,0,0,0,,Matches
7ba6d84e,David de Gea,es ESP,GK,Manchester Utd,32-124,1990,25,25,2250,25.0,35,1.40,100,66,66.0,15,4,6,10,40.0,1,1,0,0,0.0,Matches
ab13a5aa,Vicente Guaita,es ESP,GK,Crystal Palace,36-060,1987,25,25,2250,25.0,32,1.28,110,80,71.8,6,9,10,6,24.0,1,1,0,0,0.0,Matches
e5a76dfe,Dean Henderson,eng ENG,GK,Nott'ham Forest,25-364,1997,18,18,1620,18.0,31,1.72,85,52,65.9,5,5,8,6,33.3,5,2,2,1,50.0,Matches
76eca7e2,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,36-046,1987,2,2,180,2.0,4,2.00,11,7,63.6,0,1,1,0,0.0,0,0,0,0,,Matches
2628fd2b,Bernd Leno,de GER,GK,Fulham,31-007,1992,24,24,2160,24.0,32,1.33,127,95,78.0,11,4,9,7,29.2,4,4,0,0,0.0,Matches
