id,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
7a2e46a8,Alisson,br BRA,GK,Liverpool,25,1992,38.0,22,0,0,5,0,27.2,0.29,+5.2,+0.14,129,311,41.5,1072,212,20.1,28.8,216,44.0,41.3,385,16,4.2,59,1.55,16.6,Matches
28d596a0,Kepa Arrizabalaga,es ESP,GK,Chelsea,23,1994,36.0,39,1,0,6,0,36.5,0.29,-2.5,-0.07,114,230,49.6,903,156,15.7,25.9,256,34.4,36.5,369,14,3.8,35,0.97,18.1,Matches
7b4de647,Asmir Begović,ba BIH,GK,Bournemouth,31,1987,24.0,47,2,0,5,2,34.5,0.32,-10.5,-0.44,129,328,39.3,466,128,42.5,35.9,192,67.7,49.9,365,24,6.6,16,0.67,11.3,Matches
0d85a4e8,Marcus Bettinelli,eng ENG,GK,Fulham,26,1992,7.0,20,1,0,1,0,17.5,0.39,-2.5,-0.36,64,143,44.8,176,32,49.4,37.3,67,83.6,53.9,129,1,0.8,11,1.57,16.0,Matches
34ccf6fa,Artur Boruc,pl POL,GK,Bournemouth,38,1980,12.0,18,3,2,1,0,15.9,0.24,-2.1,-0.17,57,167,34.1,236,62,39.8,36.6,112,65.2,48.2,213,4,1.9,9,0.75,14.3,Matches
e608ed4c,David Button,eng ENG,GK,Brighton,29,1989,4.0,5,2,0,0,0,4.8,0.15,-0.2,-0.06,26,87,29.9,74,9,73.0,47.7,34,97.1,65.1,55,3,5.5,2,0.50,13.5,Matches
a179d516,Willy Caballero,ar ARG,GK,Chelsea,36,1981,2.0,0,0,0,0,0,0.3,0.11,+0.3,+0.16,9,20,45.0,47,9,19.1,29.5,16,68.8,46.6,26,2,7.7,0,0.00,5.8,Matches
71672fa0,Petr Čech,cz CZE,GK,Arsenal,36,1982,6.5,9,0,0,0,0,9.2,0.26,+0.2,+0.03,32,93,34.4,217,46,28.6,31.7,53,58.5,46.5,104,6,5.8,8,1.23,12.9,Matches
b73e459a,Joel Coleman,eng ENG,GK,Huddersfield,22,1995,1.0,1,0,0,0,0,0.5,0.18,-0.5,-0.47,7,29,24.1,31,0,74.2,48.3,6,100.0,65.7,12,1,8.3,1,1.00,15.8,Matches
3a949a25,Martin Dúbravka,sk SVK,GK,Newcastle Utd,29,1989,38.0,48,6,2,9,1,42.3,0.27,-4.7,-0.12,250,708,35.3,850,140,51.1,38.9,323,84.8,57.9,651,43,6.6,33,0.87,12.0,Matches
3bb7b8b4,Ederson,br BRA,GK,Manchester City,24,1993,38.0,23,4,1,5,0,23.3,0.25,+0.3,+0.01,98,239,41.0,919,188,17.1,26.8,189,43.4,42.9,282,19,6.7,41,1.08,16.9,Matches
2642bf6c,Neil Etheridge,ph PHI,GK,Cardiff City,28,1990,38.0,69,4,1,12,0,68.2,0.30,-0.8,-0.02,337,1076,31.3,876,51,86.6,53.9,319,99.4,65.6,536,15,2.8,46,1.21,15.4,Matches
9328b835,Łukasz Fabiański,pl POL,GK,West Ham,33,1985,38.0,55,4,0,10,1,62.7,0.31,+8.7,+0.23,306,825,37.1,917,155,59.0,43.0,309,91.9,61.3,554,29,5.2,16,0.42,12.1,Matches
af245161,Fabricio,es ESP,GK,Fulham,30,1987,2.0,5,0,1,0,0,4.3,0.21,-0.7,-0.36,16,28,57.1,47,14,40.4,35.4,14,64.3,44.0,29,2,6.9,3,1.50,13.6,Matches
c3e39f12,Fraser Forster,eng ENG,GK,Southampton,30,1988,1.0,3,0,0,0,0,1.9,0.31,-1.1,-1.15,5,18,27.8,16,4,68.8,42.6,7,100.0,65.1,5,0,0.0,0,0.00,2.0,Matches
d0b3ceb9,Ben Foster,eng ENG,GK,Watford,35,1983,38.0,59,4,2,6,3,55.5,0.30,-0.5,-0.01,340,941,36.1,942,98,69.9,45.9,308,91.9,63.2,575,31,5.4,72,1.89,16.9,Matches
63d17038,Paulo Gazzaniga,ar ARG,GK,Tottenham,26,1992,3.0,2,0,0,0,0,4.3,0.33,+2.3,+0.77,15,44,34.1,82,13,29.3,29.3,26,76.9,54.7,42,2,4.8,2,0.67,13.1,Matches
7ba6d84e,David de Gea,es ESP,GK,Manchester Utd,27,1990,38.0,54,6,2,7,3,49.9,0.26,-1.1,-0.03,265,620,42.7,769,153,46.6,38.2,332,78.9,54.6,524,9,1.7,25,0.66,13.4,Matches
ab13a5aa,Vicente Guaita,es ESP,GK,Crystal Palace,31,1987,19.5,23,1,0,2,1,20.3,0.23,-1.7,-0.09,123,396,31.1,398,90,56.5,41.4,191,89.5,58.7,317,13,4.1,10,0.51,12.5,Matches
e082af5b,Angus Gunn,eng ENG,GK,Southampton,22,1996,12.0,18,0,0,2,0,14.9,0.28,-3.1,-0.26,69,249,27.7,215,17,77.2,48.4,91,91.2,60.8,166,5,3.0,12,1.00,14.3,Matches
d822a850,Ben Hamer,eng ENG,GK,Huddersfield,30,1987,6.1,21,3,2,1,1,18.5,0.37,-1.5,-0.25,57,155,36.8,151,12,73.5,48.9,52,84.6,56.3,69,5,7.2,4,0.65,12.8,Matches
cb4f24c6,Joe Hart,eng ENG,GK,Burnley,31,1987,19.0,41,1,1,6,1,36.0,0.30,-4.0,-0.21,202,500,40.4,434,50,75.8,49.2,181,94.5,65.2,310,6,1.9,14,0.74,13.3,Matches
a6de6361,Tom Heaton,eng ENG,GK,Burnley,32,1986,19.0,27,1,1,2,3,22.0,0.26,-2.0,-0.10,179,457,39.2,414,45,73.4,48.2,172,89.0,60.7,333,8,2.4,29,1.53,16.4,Matches
76eca7e2,Wayne Hennessey,wls WAL,GK,Crystal Palace,31,1987,17.5,26,3,1,4,0,22.8,0.28,-3.2,-0.18,111,342,32.5,373,66,59.0,43.6,143,85.3,63.1,300,13,4.3,15,0.86,13.6,Matches
2628fd2b,Bernd Leno,de GER,GK,Arsenal,26,1992,31.5,42,7,1,3,1,44.3,0.27,+3.3,+0.10,127,385,33.0,876,181,29.3,31.5,227,56.4,45.3,385,10,2.6,40,1.27,15.3,Matches
8f62b6ee,Hugo Lloris,fr FRA,GK,Tottenham,31,1986,33.0,33,3,1,5,3,39.2,0.27,+9.2,+0.28,164,408,40.2,956,161,29.5,32.2,252,50.0,42.2,454,13,2.9,36,1.09,14.9,Matches
939bc634,Jonas Lössl,dk DEN,GK,Huddersfield,29,1989,30.9,54,4,1,6,0,42.1,0.27,-11.9,-0.39,275,631,43.6,880,97,52.3,40.7,223,76.7,55.6,345,24,7.0,29,0.94,13.3,Matches
36c2ca73,Alex McCarthy,eng ENG,GK,Southampton,28,1989,25.0,44,2,0,4,3,37.3,0.30,-3.7,-0.15,139,447,31.1,478,82,60.3,42.8,189,84.1,57.6,375,15,4.0,17,0.68,11.6,Matches
c73ada83,Will Norris,eng ENG,GK,Wolves,24,1993,0.0,0,0,0,0,0,0.0,,0.0,0.00,0,0,,0,0,,,0,,,0,0,,0,0.00,,Matches
79b0d6a0,Rui Patrício,pt POR,GK,Wolves,30,1988,37.0,46,3,1,6,4,39.3,0.27,-2.7,-0.07,213,541,39.4,579,103,52.8,39.1,284,82.7,50.5,493,14,2.8,18,0.49,12.1,Matches
4806ec67,Jordan Pickford,eng ENG,GK,Everton,24,1994,38.0,46,2,2,9,2,45.3,0.30,+1.3,+0.03,253,724,34.9,979,152,54.0,42.3,291,67.0,53.7,431,14,3.2,40,1.05,17.3,Matches
5f0241b2,Sergio Rico,es ESP,GK,Fulham,24,1993,29.0,56,4,0,9,2,50.6,0.29,-3.4,-0.12,252,606,41.6,611,91,61.4,41.9,275,84.0,55.6,471,6,1.3,28,0.97,14.3,Matches
da8b19e2,John Ruddy,eng ENG,GK,Wolves,31,1986,1.0,0,0,0,0,0,0.1,0.05,+0.1,+0.14,5,11,45.5,14,2,35.7,37.9,7,85.7,49.7,15,1,6.7,0,0.00,11.0,Matches
4535e4bb,Mathew Ryan,au AUS,GK,Brighton,26,1992,34.0,55,8,1,5,0,51.2,0.29,-3.8,-0.11,302,735,41.1,702,100,61.7,42.7,324,93.2,58.8,506,17,3.4,11,0.32,11.6,Matches
53af52f3,Kasper Schmeichel,dk DEN,GK,Leicester City,31,1986,38.0,48,5,0,4,0,40.0,0.26,-8.0,-0.21,282,639,44.1,935,127,44.3,37.7,310,72.6,52.3,534,12,2.2,25,0.66,12.5,Matches
8e65a5e5,Julián Speroni,ar ARG,GK,Crystal Palace,39,1979,1.0,4,0,0,1,0,3.6,0.40,-0.4,-0.37,11,31,35.5,22,3,90.9,53.1,13,84.6,54.9,18,1,5.6,0,0.00,3.8,Matches
fe558029,Mark Travers,ie IRL,GK,Bournemouth,19,1999,2.0,5,0,0,0,1,4.7,0.37,+0.7,+0.35,5,17,29.4,42,13,28.6,30.0,14,35.7,38.0,18,0,0.0,5,2.50,29.8,Matches
1bebde9d,Michel Vorm,nl NED,GK,Tottenham,34,1983,2.0,4,0,0,2,0,4.2,0.32,+0.2,+0.11,4,12,33.3,51,17,15.7,24.7,10,40.0,35.6,18,1,5.6,2,1.00,15.4,Matches
