id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
5f09991f,Patrick van Aanholt,nl NED,DF,Crystal Palace,27,1990,35.5,3,0,0,12,14,10,42,40,24,0,0,0,216,10,12,45.5,Matches
4d034881,Sergio Agüero,ar ARG,FW,Manchester City,30,1988,27.3,4,0,0,21,25,26,13,9,9,0,0,0,70,17,22,43.6,Matches
eaeca114,Nathan Aké,nl NED,DF,Bournemouth,23,1995,37.9,3,0,0,28,21,2,6,32,35,1,1,0,182,86,66,56.6,Matches
b827d5b3,Marc Albrighton,eng ENG,"FW,MF",Leicester City,28,1989,18.1,3,0,0,10,20,2,125,23,22,0,0,0,141,15,18,45.5,Matches
f7d50789,Toby Alderweireld,be BEL,DF,Tottenham,29,1989,32.5,3,0,0,10,1,1,6,24,23,0,0,1,193,54,47,53.5,Matches
cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,27.4,3,0,0,14,7,4,201,35,39,0,0,0,169,9,23,28.1,Matches
7a2e46a8,Alisson,br BRA,GK,Liverpool,25,1992,38.0,1,0,0,0,1,0,0,1,1,0,0,0,70,11,1,91.7,Matches
cea4ee8f,Dele Alli,eng ENG,MF,Tottenham,22,1996,20.3,4,0,0,23,20,3,10,19,19,0,0,0,124,20,20,50.0,Matches
862a1c15,Miguel Almirón,py PAR,MF,Newcastle Utd,24,1994,8.4,0,0,0,6,17,4,21,8,12,0,0,0,61,1,9,10.0,Matches
f4290206,Marcos Alonso,es ESP,DF,Chelsea,27,1990,30.7,6,0,0,28,37,2,98,39,46,2,1,0,212,66,54,55.0,Matches
1a4ef233,Daniel Amartey,gh GHA,DF,Leicester City,23,1994,7.1,2,0,0,6,1,1,3,17,12,0,1,0,58,14,9,60.9,Matches
77128f7e,Luke Amos,eng ENG,MF,Tottenham,21,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0,Matches
9f1893b9,Felipe Anderson,br BRA,"MF,FW",West Ham,25,1993,33.8,3,0,0,27,52,5,122,41,49,0,1,0,227,9,26,25.7,Matches
dc008610,Florin Andone,ro ROU,FW,Brighton,25,1993,9.8,5,0,0,28,20,4,5,3,2,0,0,0,42,36,73,33.0,Matches
ac05f970,Michail Antonio,jm JAM,"MF,FW",West Ham,28,1990,23.4,3,0,0,34,44,10,50,18,14,2,0,0,114,79,103,43.4,Matches
97333cf5,Stuart Armstrong,sct SCO,MF,Southampton,26,1992,15.9,2,0,0,20,21,3,25,12,20,0,1,0,79,17,22,43.6,Matches
00459419,Marko Arnautović,at AUT,FW,West Ham,29,1989,22.1,3,0,0,30,12,21,18,3,5,0,1,0,48,22,24,47.8,Matches
28d596a0,Kepa Arrizabalaga,es ESP,GK,Chelsea,23,1994,36.0,2,0,0,0,4,0,0,0,1,0,0,0,57,7,0,100.0,Matches
2f4c5a52,Harry Arter,ie IRL,MF,Cardiff City,28,1989,22.2,10,0,0,25,14,2,17,21,37,0,0,0,128,6,14,30.0,Matches
8816329f,Christian Atsu,gh GHA,MF,Newcastle Utd,26,1992,16.6,2,0,0,13,25,4,42,7,15,0,0,0,86,10,58,14.7,Matches
