id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
5bc43860,Brenden Aaronson,us USA,"MF,FW",Leeds United,22-140,2000,24,21,1785,19.8,1,2,3,1,0,0,2,0,2.7,2.7,3.2,5.9,30,66,110,0.05,0.10,0.15,0.05,0.15,0.14,0.16,0.30,0.14,0.30,Matches
f2bf1b0f,Che Adams,sct SCO,FW,Southampton,26-241,1996,22,19,1639,18.2,4,3,7,4,0,0,1,0,4.6,4.6,2.7,7.3,12,25,84,0.22,0.16,0.38,0.22,0.38,0.26,0.15,0.40,0.26,0.40,Matches
2b09d998,Tyler Adams,us USA,MF,Leeds United,24-025,1999,23,23,2066,23.0,0,0,0,0,0,0,6,1,0.1,0.1,1.3,1.4,17,128,20,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
c81d773d,Tosin Adarabioyo,eng ENG,DF,Fulham,25-168,1997,14,12,1095,12.2,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,6,36,1,0.08,0.00,0.08,0.08,0.08,0.01,0.00,0.01,0.01,0.01,Matches
288e1e13,Nayef Aguerd,ma MAR,DF,West Ham,26-346,1996,9,8,785,8.7,0,0,0,0,0,0,3,0,0.8,0.8,0.1,0.9,1,15,4,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10,Matches
a6c58494,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20-347,2002,4,0,43,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,8,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Matches
9b398aea,Rayan Aït Nouri,fr FRA,DF,Wolves,21-278,2001,19,9,1009,11.2,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,42,73,0.09,0.00,0.09,0.09,0.09,0.06,0.09,0.15,0.06,0.15,Matches
a8c0acb7,Kristoffer Ajer,no NOR,DF,Brentford,24-328,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,31,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,Manchester City,27-235,1995,19,16,1541,17.1,0,1,1,0,0,0,2,0,1.0,1.0,0.2,1.2,19,78,8,0.00,0.06,0.06,0.00,0.06,0.06,0.01,0.07,0.06,0.07,Matches
eaeca114,Nathan Aké,nl NED,DF,Manchester City,28-021,1995,20,16,1423,15.8,0,0,0,0,0,0,1,0,1.0,1.0,0.3,1.4,19,110,20,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.09,0.06,0.09,Matches
b827d5b3,Marc Albrighton,eng ENG,"FW,MF",Leicester City,33-113,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,5,7,18,0.38,0.00,0.38,0.38,0.38,0.13,0.34,0.48,0.13,0.48,Matches
77e84962,Thiago Alcántara,es ESP,MF,Liverpool,31-334,1991,14,14,1154,12.8,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,12,107,22,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.12,0.03,0.12,Matches
4abac767,Carlos Alcaraz,ar ARG,MF,Southampton,20-101,2002,5,2,187,2.1,2,0,2,2,0,0,1,0,0.5,0.5,0.0,0.5,7,7,7,0.96,0.00,0.96,0.96,0.96,0.25,0.01,0.26,0.25,0.26,Matches
cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-155,1998,25,22,1869,20.8,1,2,3,1,0,0,3,0,1.6,1.6,6.2,7.8,30,152,109,0.05,0.10,0.14,0.05,0.14,0.08,0.30,0.37,0.08,0.37,Matches
7a2e46a8,Alisson,br BRA,GK,Liverpool,30-160,1992,25,25,2250,25.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,0,1,0,0.00,0.04,0.04,0.00,0.04,0.00,0.01,0.01,0.00,0.01,Matches
cea4ee8f,Dele Alli,eng ENG,MF,Everton,26-334,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
862a1c15,Miguel Almirón,py PAR,FW,Newcastle Utd,29-029,1994,24,24,1955,21.7,10,1,11,10,0,0,2,0,6.0,6.0,1.5,7.6,61,105,200,0.46,0.05,0.51,0.46,0.51,0.28,0.07,0.35,0.28,0.35,Matches
15ab5a2b,Julián Álvarez,ar ARG,"FW,MF",Manchester City,23-039,2000,19,6,716,8.0,5,0,5,5,0,0,0,0,3.2,3.2,1.1,4.4,22,21,51,0.63,0.00,0.63,0.63,0.63,0.41,0.14,0.55,0.41,0.55,Matches
1a4ef233,Daniel Amartey,gh GHA,DF,Leicester City,28-080,1994,17,15,1365,15.2,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,18,62,5,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
e34fc66d,Joachim Andersen,dk DEN,DF,Crystal Palace,26-284,1996,20,20,1747,19.4,1,0,1,1,0,0,5,0,1.3,1.3,0.4,1.7,5,51,5,0.05,0.00,0.05,0.05,0.05,0.07,0.02,0.09,0.07,0.09,Matches
de31038e,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,20-125,2002,11,1,143,1.6,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,15,8,14,0.00,0.00,0.00,0.00,0.00,0.30,0.32,0.62,0.30,0.62,Matches
e4238fb1,Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,23-100,1999,20,7,859,9.5,3,0,3,3,0,0,1,0,1.5,1.5,0.6,2.1,23,38,50,0.31,0.00,0.31,0.31,0.31,0.16,0.06,0.22,0.16,0.22,Matches
ac05f970,Michail Antonio,jm JAM,FW,West Ham,32-348,1990,23,12,1129,12.5,3,2,5,3,0,0,2,0,3.4,3.4,1.1,4.5,26,20,75,0.24,0.16,0.40,0.24,0.40,0.27,0.09,0.36,0.27,0.36,Matches
99127249,Antony,br BRA,FW,Manchester Utd,23-015,2000,13,12,998,11.1,3,0,3,3,0,0,4,0,2.8,2.8,0.5,3.3,52,31,86,0.27,0.00,0.27,0.27,0.27,0.25,0.04,0.30,0.25,0.30,Matches
05e8ca6d,Cameron Archer,eng ENG,"FW,MF",Aston Villa,21-233,2001,6,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2f965a72,Alphonse Areola,fr FRA,GK,West Ham,30-012,1993,4,1,219,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
328f7d51,Joe Aribo,ng NGA,"MF,FW",Southampton,26-233,1996,19,11,1094,12.2,2,0,2,2,0,0,2,0,1.4,1.4,0.8,2.2,17,35,58,0.16,0.00,0.16,0.16,0.16,0.12,0.06,0.18,0.12,0.18,Matches
68c720b5,Adam Armstrong,eng ENG,FW,Southampton,26-029,1997,23,12,1096,12.2,1,1,2,1,0,0,1,0,1.8,1.8,0.7,2.5,35,15,54,0.08,0.08,0.16,0.08,0.16,0.15,0.05,0.20,0.15,0.20,Matches
97333cf5,Stuart Armstrong,sct SCO,"MF,FW",Southampton,30-346,1992,21,9,898,10.0,1,0,1,1,0,0,5,0,1.3,1.3,1.7,3.0,39,52,51,0.10,0.00,0.10,0.10,0.10,0.13,0.17,0.30,0.13,0.30,Matches
28d596a0,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-159,1994,17,17,1485,16.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
d5dd5f1f,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-266,1989,12,4,441,4.9,1,0,1,1,0,0,1,0,0.7,0.7,0.3,1.0,7,3,22,0.20,0.00,0.20,0.20,0.20,0.14,0.07,0.21,0.14,0.21,Matches
9fec8860,Ludwig Augustinsson,se SWE,DF,Aston Villa,28-324,1994,3,1,77,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
5c2b4f07,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-077,1992,16,14,1250,13.9,1,0,1,1,0,0,2,0,0.6,0.6,0.9,1.5,29,50,40,0.07,0.00,0.07,0.07,0.07,0.05,0.06,0.11,0.05,0.11,Matches
e5478b87,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-211,1997,16,9,730,8.1,4,0,4,4,0,0,0,0,4.5,4.5,1.0,5.5,11,7,33,0.49,0.00,0.49,0.49,0.49,0.56,0.12,0.68,0.56,0.68,Matches
5dbefa9d,André Ayew,gh GHA,FW,Nott'ham Forest,33-084,1989,5,0,106,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,2,5,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Matches
da052c14,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,31-181,1991,25,21,1751,19.5,1,1,2,1,0,0,2,0,1.4,1.4,1.6,3.0,50,37,103,0.05,0.05,0.10,0.05,0.10,0.07,0.08,0.15,0.07,0.15,Matches
420d7c7d,Luke Ayling,eng ENG,DF,Leeds United,31-198,1991,18,11,1064,11.8,0,1,1,0,0,0,1,0,1.1,1.1,1.5,2.5,16,45,50,0.00,0.08,0.08,0.00,0.08,0.09,0.12,0.22,0.09,0.22,Matches
53cad200,César Azpilicueta,es ESP,DF,Chelsea,33-195,1989,19,11,1106,12.3,0,0,0,0,0,0,3,0,0.3,0.3,1.0,1.3,17,58,60,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,Matches
06df8256,Benoît Badiashile,fr FRA,DF,Chelsea,21-350,2001,6,6,540,6.0,0,0,0,0,0,0,1,0,0.6,0.6,0.5,1.1,8,32,1,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.19,0.10,0.19,Matches
3a233281,Leon Bailey,jm JAM,"FW,MF",Aston Villa,25-214,1997,24,19,1482,16.5,4,2,6,4,0,0,4,0,4.5,4.5,2.5,7.0,61,25,135,0.24,0.12,0.36,0.24,0.36,0.28,0.15,0.43,0.28,0.43,Matches
32e8417f,Stefan Bajcetic,es ESP,MF,Liverpool,18-140,2004,10,5,439,4.9,1,0,1,1,0,0,2,0,0.8,0.8,0.4,1.1,8,21,1,0.21,0.00,0.21,0.21,0.21,0.15,0.08,0.23,0.15,0.23,Matches
93feac6e,Patrick Bamford,eng ENG,FW,Leeds United,29-187,1993,17,9,825,9.2,1,2,3,1,0,1,1,0,5.3,4.5,0.7,5.2,8,13,54,0.11,0.22,0.33,0.11,0.33,0.58,0.07,0.65,0.49,0.57,Matches
2886c9b5,Shandon Baptiste,gd GRN,MF,Brentford,24-337,1998,13,4,439,4.9,0,0,0,0,0,0,1,0,0.2,0.2,0.7,0.9,8,32,19,0.00,0.00,0.00,0.00,0.00,0.04,0.15,0.19,0.04,0.19,Matches
3ea50f67,Harvey Barnes,eng ENG,"MF,FW",Leicester City,25-092,1997,23,23,1921,21.3,8,1,9,8,0,0,2,0,6.5,6.5,1.6,8.1,67,51,195,0.37,0.05,0.42,0.37,0.42,0.30,0.08,0.38,0.30,0.38,Matches
c91441dc,Gavin Bazunu,ie IRL,GK,Southampton,21-019,2002,25,25,2250,25.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30db8574,Mads Bech Sørensen,dk DEN,"DF,MF",Brentford,24-063,1999,4,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
4115ce4e,Jan Bednarek,pl POL,DF,Southampton,26-333,1996,7,7,609,6.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0,11,2,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
4115ce4e,Jan Bednarek,pl POL,DF,Aston Villa,26-333,1996,3,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
