id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
01040647,Gennaro Acampora,it ITA,"MF,FW",Spezia,26,1994,4.9,6,4,1,4,1,2,7,28.6,5,4,1,3,4,10,4,0,Matches
b96b595c,Francesco Acerbi,it ITA,DF,Lazio,32,1988,31.3,51,32,34,13,4,18,40,45.0,22,24,15,9,76,127,121,2,Matches
7005ac66,Andrea Adorante,it ITA,FW,Parma,20,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
8bc8829a,Lucien Agoume,fr FRA,MF,Spezia,18,2002,8.9,18,10,11,7,0,6,19,31.6,13,10,5,5,15,33,10,0,Matches
46fa7204,Kevin Agudelo,co COL,FW,Spezia,21,1998,15.1,39,28,9,15,15,12,34,35.3,22,30,0,30,10,49,2,0,Matches
fdf4b948,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,27,1992,11.7,38,25,13,22,3,8,27,29.6,19,24,6,18,18,56,13,0,Matches
5294a83f,Luis Alberto,es ESP,MF,Lazio,27,1992,29.1,43,24,15,19,9,15,73,20.5,58,41,2,39,13,56,11,1,Matches
585a73a8,Bruno Alves,pt POR,DF,Parma,38,1981,18.1,13,10,10,3,0,7,9,77.8,2,17,12,5,26,39,81,0,Matches
35b4bc62,Wisdom Amey,it ITA,DF,Bologna,14,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
5a2cb25d,Sofyan Amrabat,ma MAR,MF,Fiorentina,23,1996,27.1,39,22,11,24,4,18,48,37.5,30,30,5,25,23,62,12,0,Matches
ca241ad3,Djavan Anderson,nl NED,DF,Lazio,25,1995,0.8,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,Matches
326d09ef,Nícolas Andrade,br BRA,GK,Udinese,32,1988,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
0e0e4422,Davide Angelo Ghislandi,it ITA,DF,Atalanta,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
f5409698,Philip Ankhrah,gh GHA,MF,Hellas Verona,17,2002,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
bbafc0c4,Cristian Ansaldi,ar ARG,"DF,FW",Torino,33,1986,21.6,48,33,25,14,9,24,38,63.2,14,21,7,14,16,64,38,0,Matches
8f68aa41,Valentin Antov,bg BUL,DF,Bologna,19,2000,2.6,4,2,3,1,0,3,10,30.0,7,6,5,1,4,8,13,0,Matches
2f7407fa,Nicolò Armini,it ITA,DF,Lazio,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
963a328b,Tolgay Arslan,de GER,MF,Udinese,29,1990,20.2,52,32,24,24,4,25,54,46.3,29,22,2,20,22,74,15,1,Matches
089550f5,Kwadwo Asamoah,gh GHA,"DF,MF",Cagliari,31,1988,2.5,4,3,2,2,0,2,3,66.7,1,5,1,4,4,8,2,1,Matches
a69cc629,Kristoffer Askildsen,no NOR,MF,Sampdoria,19,2001,1.1,0,0,0,0,0,0,0,,0,2,0,2,3,3,3,0,Matches
649b01d8,Emil Audero,it ITA,GK,Sampdoria,23,1997,37.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,16,0,Matches
3cd3b384,Tommaso Augello,it ITA,DF,Sampdoria,25,1994,35.7,42,30,27,10,5,23,39,59.0,16,22,2,20,32,74,76,1,Matches
2200181e,Kaan Ayhan,tr TUR,DF,Sassuolo,25,1994,8.8,15,9,8,5,2,8,13,61.5,5,9,5,4,16,31,33,0,Matches
