id,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
c5942695,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,21,1995,5.7,5,0.87,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1c529186,Ignazio Abate,it ITA,DF,Milan,30,1986,11.7,27,2.30,24,1,0,2,0,0,4,0.34,3,0,0,1,0,0,Matches
b96b595c,Francesco Acerbi,it ITA,DF,Sassuolo,29,1988,38.0,30,0.79,28,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
d7403bd5,Afriyie Acquah,gh GHA,MF,Torino,25,1992,10.6,17,1.63,13,0,1,1,2,0,0,0.00,0,0,0,0,0,0,Matches
ce5b170a,Claud Adjapong,it ITA,"DF,FW",Sassuolo,19,1998,13.6,25,1.84,17,0,1,2,3,2,2,0.15,1,0,0,0,1,0,Matches
06050480,Ali Adnan Kadhim,iq IRQ,"DF,FW",Udinese,23,1993,18.6,38,2.05,31,5,1,0,1,0,4,0.22,3,0,0,0,1,0,Matches
f9714604,Arlind Ajeti,al ALB,DF,Crotone,23,1993,14.1,14,0.99,9,0,0,1,1,3,2,0.14,1,0,0,1,0,0,Matches
5294a83f,Luis Alberto,es ESP,"FW,MF",Lazio,24,1992,29.7,183,6.18,112,50,12,7,2,0,25,0.84,13,8,3,0,1,0,Matches
4bd414c1,Raúl Albiol,es ESP,DF,Napoli,31,1985,30.5,24,0.79,23,0,0,1,0,0,3,0.10,2,0,0,1,0,0,Matches
7a2e46a8,Alisson,br BRA,GK,Roma,24,1992,37.0,5,0.14,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
cc700722,Allan,br BRA,MF,Napoli,26,1991,31.7,102,3.22,76,0,10,3,9,4,14,0.44,11,0,1,0,1,1,Matches
92a5ac34,Ricky Álvarez,ar ARG,MF,Sampdoria,29,1988,3.0,12,4.08,7,3,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
e34fc66d,Joachim Andersen,dk DEN,DF,Sampdoria,21,1996,6.1,3,0.49,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
9f1893b9,Felipe Anderson,br BRA,"FW,MF",Lazio,24,1993,12.9,84,6.52,56,10,14,1,2,1,13,1.01,10,1,2,0,0,0,Matches
326d09ef,Nícolas Andrade,br BRA,GK,Hellas Verona,29,1988,36.0,11,0.31,7,4,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
13d820de,Marco Andreolli,it ITA,DF,Cagliari,31,1986,20.3,6,0.30,5,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
0c971997,Gabriele Angella,it ITA,DF,Udinese,28,1989,9.9,11,1.11,9,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
bbafc0c4,Cristian Ansaldi,ar ARG,DF,Torino,30,1986,20.8,51,2.45,31,2,10,3,3,2,8,0.39,5,0,1,1,1,0,Matches
97c9bce3,Luca Antei,it ITA,DF,Benevento,25,1992,6.6,5,0.76,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
43a2e16c,Mirco Antenucci,it ITA,FW,SPAL,32,1984,28.6,81,2.83,56,1,6,8,7,3,10,0.35,6,0,0,3,1,0,Matches
40f0ed6c,Luca Antonelli,it ITA,"DF,FW",Milan,30,1987,1.6,2,1.26,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
91976866,Mirko Antonucci,it ITA,FW,Roma,18,1999,0.3,2,6.00,2,0,0,0,0,0,1,3.00,1,0,0,0,0,0,Matches
9c8f641a,Samuel Armenteros,se SWE,FW,Benevento,27,1990,4.8,4,0.84,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
089550f5,Kwadwo Asamoah,gh GHA,DF,Juventus,28,1988,17.4,38,2.18,32,1,2,1,2,0,4,0.23,3,0,1,0,0,0,Matches
1522dab2,Davide Astori,it ITA,DF,Fiorentina,30,1987,25.0,30,1.20,28,0,1,1,0,0,1,0.04,1,0,0,0,0,0,Matches
23f9e9d3,Felipe Avenatti,uy URU,FW,Bologna,24,1993,5.2,7,1.34,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
422ec08a,Khouma Babacar,sn SEN,FW,Fiorentina,24,1993,5.0,13,2.61,10,0,1,0,2,0,1,0.20,0,0,0,0,1,0,Matches
