id,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
649b01d8,Emil Audero,it ITA,GK,Sampdoria,26-052,1997,25.0,39,5,0,4,2,32.2,0.21,-4.8,-0.19,158,440,35.9,714,104,45.7,39.1,200,57.0,44.3,357,24,6.7,23,0.92,13.9,Matches
8ec56e62,Marco Carnesecchi,it ITA,GK,Cremonese,22-253,2000,16.0,27,2,2,4,1,26.0,0.28,0.0,0.00,82,277,29.6,404,85,50.0,40.4,120,62.5,50.3,216,16,7.4,12,0.75,13.3,Matches
8cabdc1e,Andrea Consigli,it ITA,GK,Sassuolo,36-043,1987,23.0,34,3,0,3,0,26.8,0.33,-7.2,-0.31,125,307,40.7,790,126,30.0,33.9,212,33.0,33.7,322,19,5.9,23,1.00,14.5,Matches
f554e29b,Alessio Cragno,it ITA,GK,Monza,28-256,1994,1.0,3,0,0,0,0,1.8,0.36,-1.2,-1.22,2,4,50.0,25,4,12.0,23.1,6,16.7,33.3,7,0,0.0,2,2.00,25.3,Matches
4e0c8d66,Michele Di Gregorio,it ITA,GK,Monza,25-227,1997,24.0,32,0,0,3,1,33.3,0.33,+2.3,+0.09,104,304,34.2,788,150,31.6,33.0,150,36.7,34.1,339,11,3.2,16,0.67,12.2,Matches
085e71a7,Bartłomiej Drągowski,pl POL,GK,Spezia,25-204,1997,22.7,37,2,1,4,0,31.5,0.26,-4.5,-0.21,102,309,33.0,601,105,38.1,34.1,135,59.3,46.1,306,10,3.3,25,1.15,14.7,Matches
9f5a610b,Wladimiro Falcone,it ITA,GK,Lecce,27-333,1995,25.0,29,4,1,5,1,30.6,0.24,+2.6,+0.11,128,501,25.5,615,98,56.6,42.1,196,78.1,52.9,378,19,5.0,24,0.96,12.7,Matches
f0f7f62f,Pierluigi Gollini,it ITA,GK,Fiorentina,27-358,1995,3.0,2,0,0,1,0,1.7,0.21,-0.3,-0.10,13,38,34.2,115,17,27.0,32.4,11,63.6,49.3,24,1,4.2,0,0.00,9.3,Matches
74419746,Samir Handanović,si SVN,GK,Inter,38-240,1984,10.0,16,1,0,1,1,10.7,0.29,-2.3,-0.25,29,58,50.0,290,48,18.3,26.3,52,9.6,25.8,92,2,2.2,5,0.56,14.5,Matches
fcb38f57,Mike Maignan,fr FRA,GK,Milan,27-251,1995,9.0,10,2,0,1,0,9.9,0.24,-0.1,-0.01,43,106,40.6,310,44,31.0,33.4,24,41.7,40.9,96,7,7.3,10,1.11,13.8,Matches
f794b426,Federico Marchetti,it ITA,GK,Spezia,40-032,1983,0.7,2,0,0,0,0,1.5,0.48,-0.5,-0.74,2,4,50.0,10,2,10.0,24.3,8,37.5,32.4,8,0,0.0,1,1.36,22.0,Matches
3318286e,Luís Maximiano,pt POR,GK,Lazio,24-065,1999,0.1,,,,,,,,,,2,3,66.7,,1,,,,,,,,,,,19.0,Matches
9413b19f,Alex Meret,it ITA,GK,Napoli,25-354,1997,25.0,16,1,0,1,0,18.1,0.26,+2.1,+0.08,40,110,36.4,543,90,15.5,26.6,149,17.4,26.4,256,8,3.1,25,1.00,16.4,Matches
9fa26bc2,Vanja Milinković-Savić,rs SRB,GK,Torino,26-019,1997,25.0,29,3,0,5,0,25.8,0.24,-3.2,-0.13,175,621,28.2,930,109,47.8,41.0,186,94.6,71.5,304,21,6.9,44,1.76,16.6,Matches
c1d95617,Lorenzo Montipò,it ITA,GK,Hellas Verona,27-019,1996,24.0,37,0,1,3,1,32.2,0.26,-3.8,-0.16,220,484,45.5,588,82,61.7,43.9,187,64.7,48.2,328,16,4.9,48,2.00,16.6,Matches
a111cf41,Juan Musso,ar ARG,GK,Atalanta,28-309,1994,18.1,19,1,0,2,2,13.9,0.20,-3.1,-0.17,95,218,43.6,449,127,32.7,32.0,123,57.7,46.0,208,12,5.8,19,1.05,15.9,Matches
1e9bde92,Guillermo Ochoa,mx MEX,GK,Salernitana,37-241,1985,8.0,17,2,0,1,0,18.1,0.30,+1.1,+0.13,58,167,34.7,222,21,52.3,39.9,70,72.9,52.1,110,4,3.6,6,0.75,14.3,Matches
e9c0c1b2,André Onana,cm CMR,GK,Inter,26-343,1996,16.0,14,2,0,2,1,11.7,0.19,-1.3,-0.08,65,181,35.9,555,76,26.5,29.9,103,33.0,35.7,194,8,4.1,6,0.38,13.8,Matches
79b0d6a0,Rui Patrício,pt POR,GK,Roma,35-024,1988,25.0,21,1,1,3,1,15.0,0.20,-5.0,-0.20,89,218,40.8,456,92,35.5,32.8,179,31.3,32.7,301,10,3.3,17,0.68,13.9,Matches
f058ed1f,Gianluca Pegolo,it ITA,GK,Sassuolo,41-351,1981,2.0,3,1,0,0,0,3.2,0.38,+0.2,+0.12,9,18,50.0,61,10,21.3,29.7,16,31.3,28.3,28,2,7.1,0,0.00,9.0,Matches
b9e11c1d,Simone Perilli,it ITA,GK,Hellas Verona,28-063,1995,1.0,0,0,0,0,0,0.4,0.10,+0.4,+0.40,6,30,20.0,21,0,81.0,57.3,13,100.0,69.8,19,2,10.5,1,1.00,9.5,Matches
4c62d0c8,Mattia Perin,it ITA,GK,Juventus,30-121,1992,7.5,4,1,0,0,0,9.4,0.24,+5.4,+0.71,27,92,29.3,225,42,30.2,31.0,50,48.0,40.0,121,3,2.5,10,1.33,16.2,Matches
00a17eba,Samuele Perisan,it ITA,GK,Empoli,25-202,1997,1.0,2,0,0,1,0,0.8,0.26,-1.2,-1.23,0,1,0.0,19,5,5.3,21.4,5,0.0,15.0,4,2,50.0,1,1.00,11.3,Matches
277da414,Ivan Provedel,it ITA,GK,Lazio,28-359,1994,24.9,19,1,0,4,0,20.0,0.23,+1.0,+0.04,115,272,42.3,769,109,29.4,33.1,136,33.8,34.6,322,13,4.0,41,1.65,17.1,Matches
67f649be,Ionuț Radu,ro ROU,GK,Cremonese,25-287,1997,9.0,19,3,0,3,0,21.0,0.29,+2.0,+0.22,38,143,26.6,265,34,41.1,37.3,67,50.7,46.3,107,6,5.6,9,1.00,14.5,Matches
343f753a,Luigi Sepe,it ITA,GK,Salernitana,31-307,1991,17.0,27,4,0,0,0,30.2,0.27,+3.2,+0.19,76,274,27.7,490,84,40.6,35.9,154,48.7,41.0,222,16,7.2,13,0.76,14.2,Matches
0d422df7,Marco Silvestri,it ITA,GK,Udinese,32-009,1991,25.0,30,3,1,2,2,28.3,0.30,+0.3,+0.01,103,259,39.8,533,91,35.1,33.3,201,35.8,34.5,335,6,1.8,13,0.52,13.3,Matches
ab4449d6,Łukasz Skorupski,pl POL,GK,Bologna,31-310,1991,25.0,34,6,1,4,2,36.7,0.28,+4.7,+0.19,108,279,38.7,657,137,31.7,32.9,186,38.2,34.8,331,20,6.0,20,0.80,13.5,Matches
