id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
c5942695,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,21,1995,5.7,0,0,0,9,11,0,10,2,8,0,0,0,19,9,15,37.5,Matches
1c529186,Ignazio Abate,it ITA,DF,Milan,30,1986,11.7,3,0,0,12,8,3,31,8,17,0,0,0,56,5,4,55.6,Matches
b96b595c,Francesco Acerbi,it ITA,DF,Sassuolo,29,1988,38.0,4,0,0,31,32,1,12,88,32,0,1,1,260,103,40,72.0,Matches
d7403bd5,Afriyie Acquah,gh GHA,MF,Torino,25,1992,10.6,4,2,1,17,14,0,12,16,6,0,0,0,68,12,17,41.4,Matches
ce5b170a,Claud Adjapong,it ITA,"DF,FW",Sassuolo,19,1998,13.6,5,1,0,24,19,2,27,23,26,0,0,0,80,15,15,50.0,Matches
06050480,Ali Adnan Kadhim,iq IRQ,"DF,FW",Udinese,23,1993,18.6,4,0,0,21,22,1,88,41,35,0,0,1,94,51,34,60.0,Matches
f9714604,Arlind Ajeti,al ALB,DF,Crotone,23,1993,14.1,7,0,0,19,6,0,0,34,23,0,1,0,75,20,27,42.6,Matches
5294a83f,Luis Alberto,es ESP,"FW,MF",Lazio,24,1992,29.7,5,0,0,19,36,3,213,16,28,1,0,0,145,13,25,34.2,Matches
4bd414c1,Raúl Albiol,es ESP,DF,Napoli,31,1985,30.5,7,0,0,28,18,2,3,32,19,0,0,0,216,92,51,64.3,Matches
7a2e46a8,Alisson,br BRA,GK,Roma,24,1992,37.0,1,0,0,1,3,0,0,2,0,0,0,0,69,7,0,100.0,Matches
cc700722,Allan,br BRA,MF,Napoli,26,1991,31.7,2,0,0,37,47,0,29,28,68,0,0,0,244,11,33,25.0,Matches
92a5ac34,Ricky Álvarez,ar ARG,MF,Sampdoria,29,1988,3.0,0,0,0,5,4,0,21,2,2,0,0,0,15,6,8,42.9,Matches
e34fc66d,Joachim Andersen,dk DEN,DF,Sampdoria,21,1996,6.1,0,0,0,3,4,0,0,9,3,0,0,0,33,17,2,89.5,Matches
9f1893b9,Felipe Anderson,br BRA,"FW,MF",Lazio,24,1993,12.9,0,0,0,9,15,0,74,11,21,0,0,0,72,3,12,20.0,Matches
326d09ef,Nícolas Andrade,br BRA,GK,Hellas Verona,29,1988,36.0,2,1,0,2,11,0,0,2,1,0,1,0,39,6,1,85.7,Matches
13d820de,Marco Andreolli,it ITA,DF,Cagliari,31,1986,20.3,5,0,0,29,8,0,4,30,17,0,0,0,58,45,27,62.5,Matches
0c971997,Gabriele Angella,it ITA,DF,Udinese,28,1989,9.9,3,0,0,18,4,0,2,21,13,0,3,0,56,30,13,69.8,Matches
bbafc0c4,Cristian Ansaldi,ar ARG,DF,Torino,30,1986,20.8,6,2,1,26,36,0,78,20,33,1,1,0,121,5,13,27.8,Matches
97c9bce3,Luca Antei,it ITA,DF,Benevento,25,1992,6.6,1,1,0,10,7,0,1,26,14,0,0,0,28,7,4,63.6,Matches
43a2e16c,Mirco Antenucci,it ITA,FW,SPAL,32,1984,28.6,1,0,0,36,70,33,33,11,13,1,0,0,85,21,44,32.3,Matches
40f0ed6c,Luca Antonelli,it ITA,"DF,FW",Milan,30,1987,1.6,1,0,0,1,4,1,0,1,1,0,0,0,6,1,1,50.0,Matches
91976866,Mirko Antonucci,it ITA,FW,Roma,18,1999,0.3,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,,Matches
