id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
4b7a9fcc,James Abankwah,ie IRL,DF,Udinese,19-054,2004,0,,,,,0,,0,0,,23,,,,,,,,,,,,Matches
8f5cdf66,Oliver Abildgaard,dk DEN,"MF,DF",Hellas Verona,26-274,1996,4,78,20,3.5,0.9,0,,0,4,20,1,1.25,0,0,0,0.00,+0.70,0.7,1.7,-0.9,-1.04,-0.82,Matches
f586779e,Tammy Abraham,eng ENG,FW,Roma,25-160,1997,25,1643,66,73.0,18.3,19,77,6,6,30,0,1.88,25,15,+10,+0.55,+0.40,29.7,14.0,+15.7,+0.86,+0.12,Matches
771a2cfe,Christian Acella,it ITA,MF,Cremonese,20-247,2002,1,15,15,0.7,0.2,0,,0,1,15,14,0.00,0,1,-1,-6.00,-5.03,0.0,0.1,-0.1,-0.66,+0.08,Matches
b96b595c,Francesco Acerbi,it ITA,DF,Inter,35-029,1988,19,1515,80,64.7,16.8,16,89,15,3,29,3,2.00,30,18,+12,+0.71,+0.17,25.3,14.0,+11.3,+0.71,-0.11,Matches
1226f0de,Marius Adamonis,lt LTU,GK,Lazio,25-302,1997,0,,,,,0,,0,0,,25,,,,,,,,,,,,Matches
26777636,Yacine Adli,fr FRA,"MF,FW",Milan,22-225,2000,5,124,25,5.5,1.4,1,59,0,4,16,20,1.40,2,2,0,0.00,-0.42,2.1,1.9,+0.2,+0.15,-0.28,Matches
f9c927de,Michel Aebischer,ch SUI,"FW,MF",Bologna,26-064,1997,21,868,41,38.6,9.6,9,74,3,12,17,4,1.57,12,13,-1,-0.10,+0.03,10.4,12.4,-2.1,-0.21,-0.01,Matches
0154d290,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,20-051,2003,16,604,38,26.8,6.7,5,65,1,11,26,5,0.63,6,11,-5,-0.75,+0.35,6.3,9.8,-3.5,-0.52,+0.31,Matches
0154d290,Felix Afena-Gyan,gh GHA,FW,Roma,20-051,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
8bc8829a,Lucien Agoume,fr FRA,MF,Inter,21-030,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
46fa7204,Kevin Agudelo,co COL,"MF,FW",Spezia,24-117,1998,25,1714,69,73.2,19.0,20,78,6,5,30,1,0.92,17,28,-11,-0.58,+0.57,18.8,29.8,-11.0,-0.60,-0.12,Matches
246d153b,Ola Aina,ng NGA,DF,Torino,26-154,1996,14,760,54,33.8,8.4,9,75,4,5,17,2,1.57,8,7,+1,+0.12,+0.30,12.0,9.8,+2.1,+0.25,+0.47,Matches
d810c13b,Emanuel Aiwum,at AUT,DF,Cremonese,22-076,2000,17,1209,71,53.7,13.4,13,86,10,4,23,7,0.35,8,25,-17,-1.27,-0.57,12.2,25.5,-13.3,-0.99,-0.53,Matches
fdf4b948,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,30-151,1992,14,764,55,34.0,8.5,9,69,0,5,28,0,1.21,8,11,-3,-0.35,+0.07,9.3,12.2,-2.9,-0.34,+0.42,Matches
