id,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
b96b595c,Francesco Acerbi,it ITA,DF,Lazio,31,1988,35.1,2387,300,1093,1125,184,30,2387,14,13,92.9,1,7.1,1391,9440,5596,57,22,0,12,7,1599,36,Matches
3ed84b2c,Bobby Adekanye,nl NED,FW,Lazio,20,1999,2.1,62,1,6,31,26,10,62,3,3,100.0,0,0.0,43,224,118,6,2,5,3,6,49,12,Matches
ce5b170a,Claud Adjapong,it ITA,DF,Hellas Verona,21,1998,2.6,110,15,34,40,36,6,110,2,1,50.0,1,50.0,54,306,113,4,4,0,4,2,61,16,Matches
8bc8829a,Lucien Agoume,fr FRA,MF,Inter,17,2002,0.8,45,0,8,25,12,0,45,0,0,,0,,33,130,45,1,0,0,1,1,30,2,Matches
46fa7204,Kevin Agudelo,co COL,"MF,FW",Fiorentina,20,1998,0.7,50,0,6,25,21,4,50,3,3,100.0,0,0.0,35,198,74,1,1,1,0,2,31,8,Matches
46fa7204,Kevin Agudelo,co COL,"MF,FW",Genoa,20,1998,7.4,387,7,73,195,130,18,387,35,25,71.4,10,28.6,264,1922,1238,39,23,6,15,15,271,34,Matches
fe0b8f0e,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,28,1990,2.6,129,6,23,86,20,1,129,1,1,100.0,0,0.0,83,468,199,2,2,1,9,1,88,1,Matches
246d153b,Ola Aina,ng NGA,DF,Torino,22,1996,23.1,1478,70,422,679,399,27,1478,78,47,60.3,31,39.7,718,4943,2913,86,51,8,32,21,817,80,Matches
5294a83f,Luis Alberto,es ESP,MF,Lazio,26,1992,34.6,2653,14,260,1371,1086,98,2652,107,73,68.2,34,31.8,1620,11683,7365,203,171,29,51,47,1901,163,Matches
95adf1e1,Enrico Alfonso,it ITA,GK,Brescia,31,1988,3.1,85,67,85,0,0,0,85,0,0,,0,,27,144,109,0,0,0,0,0,26,0,Matches
cc700722,Allan,br BRA,MF,Napoli,28,1991,14.2,1001,23,167,626,217,13,1001,28,19,67.9,9,32.1,638,3107,1489,25,27,2,30,15,725,53,Matches
585a73a8,Bruno Alves,pt POR,DF,Parma,37,1981,29.7,1625,280,878,666,86,34,1625,1,1,100.0,0,0.0,922,4801,2509,6,4,0,6,4,987,11,Matches
5a2cb25d,Sofyan Amrabat,ma MAR,MF,Hellas Verona,22,1996,32.4,2062,54,355,1357,395,22,2061,103,75,72.8,28,27.2,1388,10322,4827,84,67,5,57,56,1421,52,Matches
ca241ad3,Djavan Anderson,nl NED,"FW,DF",Lazio,24,1995,1.9,90,6,32,30,30,4,90,5,3,60.0,2,40.0,42,313,136,4,3,1,5,5,37,4,Matches
fe471a89,Lorenzo Andrenacci,it ITA,GK,Brescia,24,1995,5.9,182,174,182,0,0,0,182,0,0,,0,,68,364,265,0,0,0,0,0,24,0,Matches
df525574,Peter Ankersen,dk DEN,DF,Genoa,28,1990,11.8,732,33,222,289,231,26,732,13,6,46.2,7,53.8,417,1780,917,16,19,4,17,10,496,65,Matches
bbafc0c4,Cristian Ansaldi,ar ARG,"DF,MF",Torino,32,1986,19.6,1068,54,282,375,426,41,1068,73,36,49.3,37,50.7,614,4593,2262,90,43,11,40,29,629,124,Matches
91976866,Mirko Antonucci,it ITA,"FW,MF",Roma,20,1999,0.9,39,0,5,16,18,6,39,0,0,,0,,19,88,48,2,1,0,5,0,19,6,Matches
2b15a82a,Guilherme Arana,br BRA,DF,Atalanta,22,1997,0.9,69,2,23,26,20,3,69,1,0,0.0,1,100.0,35,184,127,3,1,0,1,1,39,6,Matches
2f7407fa,Nicolò Armini,it ITA,DF,Lazio,18,2001,0.0,5,1,4,1,0,0,5,0,0,,0,,3,6,0,0,0,0,0,0,3,0,Matches
089550f5,Kwadwo Asamoah,gh GHA,"DF,FW",Inter,30,1988,7.1,429,24,109,167,156,17,429,16,12,75.0,4,25.0,214,1196,772,25,16,9,4,6,274,54,Matches
a69cc629,Kristoffer Askildsen,no NOR,MF,Sampdoria,18,2001,0.8,41,1,12,25,7,0,41,2,2,100.0,0,0.0,29,167,132,2,4,0,2,1,30,0,Matches
